user_id,experiment_group,retained_after_experiment,total_sessions,converted_to_paid,monthly_revenue
94,treatment,1,3,1,20
95,control,1,1,1,20
95,treatment,1,1,0,0
96,control,0,1,0,0
96,treatment,0,1,0,0
97,control,1,1,0,0
97,treatment,1,2,1,20
98,control,1,2,0,0
98,treatment,1,2,0,0
99,control,0,1,0,0
99,treatment,0,1,0,0
100,control,0,1,0,0
100,treatment,1,2,0,0
101,control,1,2,1,20
101,treatment,1,1,0,0
102,control,1,2,1,20
102,treatment,1,2,0,0
103,control,1,1,0,0
104,control,0,1,0,0
104,treatment,1,1,0,0
105,control,1,1,0,0
105,treatment,1,1,0,0
106,control,0,2,0,0
106,treatment,1,3,0,0
107,control,1,2,0,0
107,treatment,0,2,0,0
108,treatment,1,1,0,0
109,control,0,1,0,0
109,treatment,1,1,0,0
110,control,0,1,0,0
110,treatment,1,2,0,0
111,control,0,1,0,0
112,control,0,1,0,0
112,treatment,1,1,0,0
113,control,1,2,0,0
113,treatment,1,1,1,20
114,control,1,2,0,0
114,treatment,1,2,0,0
115,control,0,1,0,0
115,treatment,1,1,1,20
116,control,0,1,0,0
116,treatment,0,1,0,0
117,control,0,3,0,0
117,treatment,1,2,0,0
118,control,0,2,0,0
118,treatment,1,1,0,0
119,treatment,1,1,0,0
120,treatment,0,1,0,0
121,control,0,1,0,0
121,treatment,1,2,0,0
122,control,0,1,0,0
122,treatment,0,1,0,0
123,control,1,3,0,0
123,treatment,1,1,1,20
124,control,0,1,0,0
124,treatment,1,2,0,0
125,control,0,3,0,0
125,treatment,1,3,0,0
126,control,1,2,1,20
126,treatment,1,1,0,0
127,control,0,2,0,0
127,treatment,1,2,0,0
128,control,1,1,0,0
128,treatment,1,1,1,20
129,control,0,2,0,0
129,treatment,1,2,0,0
130,control,1,2,0,0
130,treatment,1,3,1,20
131,control,1,3,0,0
131,treatment,1,3,0,0
132,control,1,1,1,20
133,treatment,1,1,0,0
134,control,1,3,0,0
134,treatment,1,3,0,0
135,control,1,3,0,0
135,treatment,1,3,0,0
136,control,0,1,0,0
136,treatment,1,2,0,0
137,control,0,1,0,0
137,treatment,1,2,1,20
138,control,1,3,1,20
138,treatment,1,3,0,0
139,control,1,2,1,20
139,treatment,1,2,0,0
140,control,1,1,0,0
141,control,1,2,0,0
141,treatment,1,2,0,0
142,control,0,2,0,0
142,treatment,0,1,0,0
143,treatment,1,1,0,0
144,control,0,2,0,0
144,treatment,1,3,0,0
145,control,1,3,0,0
145,treatment,1,2,1,20
146,control,1,3,0,0
146,treatment,1,1,0,0
147,control,1,2,0,0
147,treatment,1,2,0,0
148,control,1,2,1,20
148,treatment,1,2,0,0
149,treatment,1,1,0,0
150,control,0,1,0,0
150,treatment,1,2,0,0
151,control,1,1,1,20
151,treatment,1,2,0,0
152,control,0,3,0,0
152,treatment,0,2,0,0
153,control,0,1,0,0
154,treatment,1,3,0,0
155,control,0,1,0,0
155,treatment,1,1,0,0
156,control,0,3,0,0
156,treatment,1,3,1,20
157,control,0,2,0,0
157,treatment,1,2,0,0
158,control,0,3,0,0
158,treatment,1,2,1,20
159,control,1,1,1,20
159,treatment,1,1,0,0
160,treatment,1,1,1,20
161,control,1,3,0,0
161,treatment,1,2,1,20
162,control,1,1,0,0
163,control,0,2,0,0
163,treatment,1,3,0,0
164,control,0,3,0,0
164,treatment,0,3,0,0
165,control,1,2,1,20
165,treatment,1,1,1,20
166,control,0,2,0,0
166,treatment,1,2,0,0
167,treatment,0,3,0,0
168,control,0,2,0,0
168,treatment,1,2,0,0
169,control,1,1,0,0
169,treatment,1,1,0,0
170,control,1,3,0,0
170,treatment,1,3,0,0
171,control,1,3,0,0
171,treatment,1,2,0,0
172,control,0,1,0,0
173,control,1,1,0,0
173,treatment,0,1,0,0
174,control,0,3,0,0
174,treatment,1,2,1,20
175,control,1,3,0,0
175,treatment,1,3,0,0
176,control,0,3,0,0
176,treatment,1,3,1,20
177,treatment,1,1,0,0
178,control,1,3,0,0
178,treatment,1,2,0,0
179,control,1,2,0,0
179,treatment,1,2,0,0
180,treatment,1,1,0,0
181,control,1,2,0,0
181,treatment,1,2,0,0
182,control,1,2,0,0
182,treatment,1,3,0,0
183,treatment,1,1,1,20
184,control,0,1,0,0
184,treatment,1,1,0,0
185,control,1,3,0,0
185,treatment,1,2,1,20
186,control,0,3,0,0
186,treatment,1,2,0,0
187,control,1,1,0,0
187,treatment,1,1,0,0
188,treatment,1,1,0,0
189,control,0,1,0,0
189,treatment,1,2,0,0
190,control,0,1,0,0
191,control,1,1,0,0
191,treatment,1,1,0,0
192,control,1,2,0,0
192,treatment,1,2,1,20
193,control,1,2,0,0
193,treatment,1,2,1,20
194,control,1,2,0,0
195,control,0,1,0,0
195,treatment,1,1,0,0
196,control,1,2,0,0
196,treatment,1,2,0,0
197,control,1,2,0,0
197,treatment,1,3,1,20
198,control,1,2,1,20
198,treatment,1,2,0,0
199,control,0,1,0,0
199,treatment,1,2,0,0
200,control,1,3,1,20
200,treatment,1,2,0,0
201,control,1,1,0,0
201,treatment,1,1,0,0
202,control,0,2,0,0
202,treatment,1,1,1,20
203,control,0,1,0,0
204,control,1,2,0,0
204,treatment,1,2,0,0
205,control,0,2,0,0
205,treatment,1,1,0,0
206,control,0,1,0,0
207,control,1,2,0,0
207,treatment,1,2,0,0
208,control,0,1,0,0
208,treatment,1,1,0,0
209,control,0,3,0,0
209,treatment,1,2,0,0
210,control,0,1,0,0
210,treatment,1,1,0,0
211,control,1,1,0,0
211,treatment,1,2,0,0
212,control,1,2,0,0
212,treatment,1,2,0,0
213,control,1,1,1,20
213,treatment,0,1,0,0
214,control,1,1,0,0
214,treatment,1,1,0,0
215,control,1,1,0,0
215,treatment,1,1,0,0
216,control,1,2,0,0
216,treatment,0,2,0,0
217,control,1,1,0,0
217,treatment,1,1,1,20
218,control,0,1,0,0
218,treatment,0,1,0,0
219,control,1,1,0,0
219,treatment,1,1,1,20
220,treatment,0,1,0,0
221,control,0,2,0,0
221,treatment,1,1,0,0
222,treatment,1,1,1,20
223,control,1,1,0,0
224,control,0,2,0,0
224,treatment,0,2,0,0
225,control,0,1,0,0
225,treatment,1,1,0,0
226,control,1,3,0,0
226,treatment,1,3,0,0
227,control,1,1,0,0
227,treatment,1,1,0,0
228,control,1,1,1,20
228,treatment,1,1,0,0
229,control,1,2,0,0
229,treatment,1,2,0,0
230,control,0,2,0,0
230,treatment,1,2,0,0
231,treatment,1,1,0,0
232,control,0,1,0,0
232,treatment,1,1,1,20
233,control,1,2,1,20
233,treatment,1,3,0,0
234,treatment,1,1,1,20
235,control,1,1,0,0
235,treatment,1,2,1,20
236,control,1,1,0,0
236,treatment,1,2,0,0
237,control,1,1,0,0
237,treatment,0,1,0,0
238,control,0,2,0,0
238,treatment,1,2,1,20
239,control,1,1,0,0
239,treatment,1,1,1,20
240,control,0,2,0,0
240,treatment,1,2,0,0
241,control,0,1,0,0
241,treatment,1,2,0,0
242,control,0,2,0,0
242,treatment,1,1,0,0
243,control,0,1,0,0
243,treatment,1,2,0,0
244,treatment,1,1,1,20
245,control,0,1,0,0
245,treatment,1,1,0,0
246,control,1,1,0,0
246,treatment,1,1,0,0
247,control,0,1,0,0
247,treatment,0,1,0,0
248,control,1,3,0,0
248,treatment,1,3,0,0
249,control,1,2,0,0
249,treatment,1,3,0,0
250,control,0,1,0,0
250,treatment,0,1,0,0
251,control,1,2,0,0
251,treatment,1,2,1,20
252,control,1,2,0,0
252,treatment,1,2,0,0
253,control,1,2,1,20
253,treatment,1,3,1,20
254,control,1,2,0,0
254,treatment,0,1,0,0
255,control,1,1,0,0
255,treatment,1,1,1,20
256,treatment,0,2,0,0
257,control,0,1,0,0
257,treatment,1,1,0,0
258,control,1,2,0,0
258,treatment,1,1,0,0
259,control,1,2,1,20
260,control,1,3,0,0
260,treatment,1,2,0,0
261,control,1,1,1,20
261,treatment,1,1,0,0
262,control,1,1,0,0
263,control,1,2,0,0
263,treatment,1,1,0,0
264,treatment,1,1,1,20
265,control,1,2,0,0
265,treatment,1,1,0,0
266,control,0,3,0,0
266,treatment,1,2,0,0
267,control,0,1,0,0
267,treatment,1,1,0,0
268,treatment,0,1,0,0
269,control,1,2,1,20
269,treatment,0,2,0,0
270,control,0,3,0,0
270,treatment,0,1,0,0
271,control,0,3,0,0
271,treatment,0,1,0,0
272,control,0,2,0,0
272,treatment,1,3,0,0
273,control,1,1,1,20
273,treatment,1,1,0,0
274,control,0,1,0,0
275,control,1,3,0,0
275,treatment,1,3,0,0
276,control,0,3,0,0
276,treatment,1,2,0,0
277,control,1,1,0,0
277,treatment,1,1,0,0
278,control,1,2,0,0
278,treatment,1,2,1,20
279,control,0,1,0,0
279,treatment,1,2,0,0
280,control,1,1,0,0
280,treatment,1,2,0,0
281,control,1,2,1,20
281,treatment,1,1,0,0
282,treatment,1,1,1,20
283,control,1,2,1,20
283,treatment,1,3,0,0
284,control,1,2,1,20
284,treatment,1,3,1,20
285,treatment,0,1,0,0
286,control,0,1,0,0
286,treatment,1,1,0,0
287,control,0,1,0,0
287,treatment,1,2,1,20
288,control,0,2,0,0
288,treatment,1,2,1,20
289,control,1,1,0,0
289,treatment,1,1,0,0
290,control,1,1,0,0
290,treatment,1,1,0,0
291,control,1,2,0,0
291,treatment,1,2,0,0
292,control,0,1,0,0
292,treatment,1,2,0,0
293,control,0,2,0,0
293,treatment,1,3,0,0
294,control,1,2,0,0
294,treatment,0,2,0,0
295,control,0,1,0,0
295,treatment,1,1,0,0
296,control,1,1,1,20
296,treatment,1,1,1,20
297,control,1,2,1,20
297,treatment,1,1,0,0
298,control,0,3,0,0
298,treatment,1,3,0,0
299,control,0,1,0,0
299,treatment,1,2,0,0
300,control,1,2,0,0
300,treatment,1,3,0,0
301,control,1,1,0,0
301,treatment,1,1,0,0
302,treatment,1,1,1,20
303,control,1,1,1,20
303,treatment,1,1,1,20
304,control,1,1,0,0
304,treatment,1,2,0,0
305,control,1,2,0,0
305,treatment,1,1,1,20
306,control,1,1,0,0
306,treatment,1,3,1,20
307,control,1,2,0,0
307,treatment,1,2,0,0
308,control,0,2,0,0
308,treatment,1,2,0,0
309,control,1,1,1,20
309,treatment,1,2,0,0
310,control,0,1,0,0
310,treatment,1,2,0,0
311,control,1,3,0,0
311,treatment,1,3,1,20
312,treatment,0,1,0,0
313,control,1,3,1,20
313,treatment,1,3,0,0
314,control,1,2,1,20
314,treatment,1,3,0,0
315,control,1,1,1,20
315,treatment,1,2,0,0
316,control,1,1,1,20
316,treatment,1,1,0,0
317,control,0,1,0,0
317,treatment,0,1,0,0
318,control,1,3,0,0
318,treatment,1,2,0,0
319,control,1,3,0,0
319,treatment,1,3,0,0
320,control,0,3,0,0
320,treatment,1,1,0,0
321,control,1,1,0,0
322,control,1,1,1,20
322,treatment,1,2,0,0
323,control,1,1,0,0
323,treatment,1,1,0,0
324,treatment,1,2,0,0
325,control,1,3,1,20
325,treatment,1,1,0,0
326,control,1,1,0,0
326,treatment,1,1,0,0
327,control,0,1,0,0
327,treatment,1,1,0,0
328,control,0,3,0,0
328,treatment,1,2,1,20
329,control,0,2,0,0
329,treatment,1,2,0,0
330,control,1,1,0,0
330,treatment,1,2,1,20
331,control,1,2,0,0
331,treatment,1,1,1,20
332,treatment,1,1,0,0
333,control,0,2,0,0
333,treatment,0,3,0,0
334,control,1,3,0,0
334,treatment,1,2,0,0
335,control,0,1,0,0
335,treatment,1,2,1,20
336,control,1,2,1,20
336,treatment,1,2,0,0
337,control,0,1,0,0
337,treatment,1,2,1,20
338,control,0,2,0,0
338,treatment,1,3,0,0
339,control,0,2,0,0
339,treatment,1,2,0,0
340,control,1,2,1,20
340,treatment,1,3,0,0
341,control,0,2,0,0
341,treatment,0,1,0,0
342,control,1,1,1,20
342,treatment,1,2,1,20
343,control,0,1,0,0
344,control,1,3,1,20
344,treatment,1,3,0,0
345,control,1,2,1,20
345,treatment,1,2,0,0
346,control,0,2,0,0
346,treatment,1,2,1,20
347,control,0,1,0,0
347,treatment,1,1,1,20
348,control,1,2,0,0
348,treatment,1,1,0,0
349,control,1,3,1,20
349,treatment,1,3,1,20
350,control,1,2,0,0
350,treatment,0,2,0,0
351,control,0,1,0,0
351,treatment,0,1,0,0
352,control,1,3,1,20
352,treatment,1,2,1,20
353,control,0,1,0,0
353,treatment,0,1,0,0
354,control,1,2,0,0
354,treatment,1,2,0,0
355,control,0,1,0,0
355,treatment,0,1,0,0
356,control,0,2,0,0
356,treatment,1,2,0,0
357,control,1,2,0,0
357,treatment,1,2,0,0
358,control,0,1,0,0
359,control,1,1,1,20
359,treatment,1,1,0,0
360,control,1,2,1,20
360,treatment,1,3,0,0
361,control,1,1,0,0
361,treatment,1,1,0,0
362,control,1,2,0,0
362,treatment,1,2,0,0
363,control,1,3,0,0
363,treatment,1,3,0,0
364,control,1,2,0,0
364,treatment,1,2,0,0
365,control,1,2,0,0
365,treatment,1,1,0,0
366,control,1,2,0,0
366,treatment,0,1,0,0
367,control,1,1,0,0
367,treatment,1,2,0,0
368,control,0,2,0,0
368,treatment,1,3,1,20
369,control,1,1,0,0
369,treatment,1,1,0,0
370,control,1,3,1,20
370,treatment,1,3,0,0
371,control,0,3,0,0
371,treatment,1,3,0,0
372,control,1,1,0,0
372,treatment,1,1,0,0
373,control,1,1,1,20
373,treatment,1,3,1,20
374,control,0,1,0,0
374,treatment,1,1,0,0
375,control,1,2,1,20
375,treatment,1,3,0,0
376,control,0,1,0,0
376,treatment,0,2,0,0
377,control,1,3,0,0
377,treatment,1,3,0,0
378,treatment,1,1,0,0
379,control,1,2,0,0
379,treatment,1,2,0,0
380,control,1,2,1,20
380,treatment,1,2,0,0
381,control,0,1,0,0
381,treatment,1,3,0,0
382,control,1,2,0,0
382,treatment,1,2,0,0
383,control,0,2,0,0
383,treatment,1,2,0,0
384,control,1,1,0,0
385,control,1,2,1,20
385,treatment,1,3,1,20
386,control,0,1,0,0
386,treatment,0,1,0,0
387,control,0,1,0,0
387,treatment,1,1,1,20
388,control,1,2,0,0
388,treatment,1,1,0,0
389,control,1,1,0,0
389,treatment,1,2,1,20
390,control,1,1,0,0
390,treatment,1,1,1,20
391,control,1,2,0,0
391,treatment,1,2,0,0
392,control,1,1,0,0
393,control,0,1,0,0
393,treatment,0,1,0,0
394,control,1,2,1,20
394,treatment,1,3,1,20
395,control,0,1,0,0
395,treatment,1,1,0,0
396,control,1,2,0,0
396,treatment,1,1,0,0
397,control,1,2,1,20
397,treatment,1,3,0,0
398,control,1,2,0,0
398,treatment,1,3,1,20
399,control,1,2,1,20
399,treatment,1,1,0,0
400,control,0,1,0,0
400,treatment,1,1,0,0
401,control,0,1,0,0
401,treatment,0,1,0,0
402,control,1,3,0,0
402,treatment,1,3,0,0
403,control,0,3,0,0
403,treatment,1,1,0,0
404,control,0,1,0,0
404,treatment,1,2,0,0
405,control,1,1,0,0
405,treatment,1,3,1,20
406,treatment,1,1,1,20
407,treatment,0,1,0,0
408,treatment,1,2,0,0
409,control,1,2,1,20
409,treatment,1,2,1,20
410,control,0,1,0,0
410,treatment,1,1,1,20
411,control,1,2,1,20
411,treatment,1,1,0,0
412,control,1,2,0,0
412,treatment,1,1,0,0
413,control,0,3,0,0
413,treatment,1,3,0,0
414,control,0,2,0,0
414,treatment,1,3,0,0
415,control,1,1,0,0
415,treatment,1,3,0,0
416,control,1,1,0,0
416,treatment,1,1,0,0
417,control,1,1,1,20
417,treatment,1,1,0,0
418,control,0,1,0,0
418,treatment,1,1,1,20
419,control,0,2,0,0
419,treatment,0,1,0,0
420,control,1,2,0,0
420,treatment,1,2,0,0
421,control,0,1,0,0
421,treatment,1,1,1,20
422,control,0,2,0,0
422,treatment,1,2,0,0
423,control,1,3,0,0
423,treatment,1,3,0,0
424,control,0,3,0,0
424,treatment,1,3,0,0
425,control,1,2,0,0
425,treatment,1,2,0,0
426,control,1,1,0,0
426,treatment,1,1,0,0
427,control,1,3,0,0
427,treatment,1,3,0,0
428,control,1,1,1,20
429,control,0,2,0,0
429,treatment,1,3,1,20
430,control,1,2,0,0
430,treatment,1,3,1,20
431,control,0,2,0,0
431,treatment,1,2,0,0
432,control,0,3,0,0
432,treatment,1,3,0,0
433,control,1,3,1,20
433,treatment,1,1,0,0
434,control,0,2,0,0
434,treatment,1,2,0,0
435,control,1,2,1,20
435,treatment,1,3,0,0
436,control,1,1,0,0
436,treatment,1,1,1,20
437,control,0,1,0,0
438,control,1,3,1,20
438,treatment,1,1,1,20
439,treatment,1,1,1,20
440,control,0,2,0,0
440,treatment,1,3,0,0
441,treatment,1,1,0,0
442,control,0,1,0,0
442,treatment,1,1,0,0
443,control,1,2,0,0
443,treatment,1,1,0,0
444,control,1,2,0,0
444,treatment,1,3,0,0
445,control,0,1,0,0
446,control,1,1,0,0
446,treatment,1,3,0,0
447,control,0,3,0,0
447,treatment,1,2,0,0
448,control,1,2,0,0
448,treatment,1,2,1,20
449,control,0,1,0,0
449,treatment,1,1,0,0
450,control,0,1,0,0
450,treatment,1,2,0,0
451,control,1,1,1,20
451,treatment,1,1,0,0
452,control,1,3,0,0
452,treatment,1,2,0,0
453,control,1,3,0,0
453,treatment,1,2,0,0
454,control,1,3,1,20
454,treatment,1,3,0,0
455,control,1,3,0,0
455,treatment,1,3,0,0
456,control,1,1,1,20
456,treatment,1,1,0,0
457,control,0,3,0,0
457,treatment,1,3,1,20
458,control,1,3,0,0
458,treatment,1,2,1,20
459,control,0,2,0,0
459,treatment,1,2,0,0
460,control,1,1,0,0
460,treatment,1,1,0,0
461,control,1,2,1,20
461,treatment,1,2,1,20
462,control,1,2,0,0
462,treatment,1,2,0,0
463,control,1,2,1,20
463,treatment,1,2,0,0
464,control,1,2,1,20
464,treatment,1,3,1,20
465,control,0,1,0,0
465,treatment,1,1,0,0
466,control,0,1,0,0
466,treatment,1,2,0,0
467,control,1,2,0,0
467,treatment,1,1,0,0
468,control,0,2,0,0
468,treatment,1,2,1,20
469,control,1,2,0,0
469,treatment,1,2,1,20
470,control,0,1,0,0
471,control,1,2,0,0
471,treatment,1,3,0,0
472,control,1,3,0,0
472,treatment,1,3,0,0
473,control,1,2,1,20
473,treatment,1,1,0,0
474,control,0,2,0,0
474,treatment,0,1,0,0
475,control,0,1,0,0
475,treatment,1,2,0,0
476,control,0,2,0,0
476,treatment,1,3,0,0
477,control,0,1,0,0
477,treatment,1,1,0,0
478,control,0,3,0,0
478,treatment,1,2,1,20
479,control,0,1,0,0
479,treatment,1,1,0,0
480,control,0,1,0,0
481,control,0,2,0,0
481,treatment,1,2,1,20
482,treatment,1,2,0,0
483,control,1,2,1,20
483,treatment,1,2,1,20
484,control,0,2,0,0
485,control,0,1,0,0
485,treatment,1,2,0,0
486,control,1,1,0,0
487,control,0,2,0,0
487,treatment,1,2,0,0
488,control,1,1,1,20
488,treatment,1,1,1,20
489,treatment,1,2,0,0
490,control,1,1,0,0
490,treatment,1,1,0,0
491,control,0,1,0,0
491,treatment,0,2,0,0
492,control,0,1,0,0
492,treatment,1,1,1,20
493,control,1,3,0,0
493,treatment,1,3,0,0
494,treatment,0,1,0,0
495,control,1,3,1,20
495,treatment,1,2,0,0
496,control,0,1,0,0
496,treatment,1,2,0,0
497,control,1,1,0,0
497,treatment,1,1,0,0
498,control,0,1,0,0
499,control,1,1,0,0
499,treatment,1,1,0,0
500,treatment,1,1,0,0
501,control,0,2,0,0
501,treatment,1,2,0,0
502,control,1,2,1,20
503,control,1,1,1,20
503,treatment,0,1,0,0
504,control,0,3,0,0
504,treatment,1,3,0,0
505,control,1,3,0,0
505,treatment,1,3,0,0
506,treatment,1,1,0,0
507,control,0,1,0,0
508,control,1,2,0,0
508,treatment,1,2,1,20
509,control,1,2,1,20
509,treatment,1,2,0,0
510,treatment,0,1,0,0
511,control,0,2,0,0
511,treatment,1,2,1,20
512,control,1,3,1,20
512,treatment,1,3,0,0
513,control,0,2,0,0
513,treatment,0,1,0,0
514,treatment,1,2,0,0
515,control,1,1,1,20
515,treatment,1,1,0,0
516,control,1,1,1,20
517,control,1,1,0,0
517,treatment,1,2,0,0
518,control,1,1,0,0
519,control,0,1,0,0
519,treatment,1,1,0,0
520,control,0,1,0,0
521,control,1,1,0,0
521,treatment,1,2,0,0
522,control,1,3,0,0
522,treatment,1,3,0,0
523,treatment,1,1,0,0
524,treatment,1,1,0,0
525,control,0,2,0,0
525,treatment,1,3,0,0
526,control,1,2,0,0
526,treatment,1,3,0,0
527,treatment,1,2,0,0
528,control,0,1,0,0
529,control,1,3,0,0
529,treatment,1,3,0,0
530,control,0,2,0,0
531,control,1,2,0,0
531,treatment,1,1,0,0
532,control,1,1,1,20
533,control,1,1,1,20
533,treatment,0,1,0,0
534,control,0,1,0,0
534,treatment,0,1,0,0
535,control,1,1,1,20
535,treatment,1,1,0,0
536,control,0,2,0,0
536,treatment,1,2,1,20
537,control,1,2,1,20
537,treatment,1,2,0,0
538,control,1,3,0,0
538,treatment,1,3,0,0
539,control,0,1,0,0
539,treatment,1,1,0,0
540,control,0,1,0,0
540,treatment,0,1,0,0
541,control,0,1,0,0
541,treatment,1,1,0,0
542,control,0,2,0,0
542,treatment,1,1,0,0
543,treatment,1,1,0,0
544,control,1,2,0,0
544,treatment,1,2,1,20
545,control,1,2,0,0
545,treatment,1,3,1,20
546,control,1,3,0,0
546,treatment,1,2,1,20
547,control,1,1,0,0
547,treatment,1,2,1,20
548,treatment,1,1,0,0
549,control,0,1,0,0
549,treatment,1,1,1,20
550,control,1,3,1,20
550,treatment,1,3,1,20
551,control,0,1,0,0
551,treatment,0,1,0,0
552,control,1,3,0,0
552,treatment,1,2,0,0
553,treatment,1,1,0,0
554,control,1,2,0,0
554,treatment,1,1,0,0
555,control,1,2,1,20
555,treatment,1,2,0,0
556,control,1,2,0,0
556,treatment,1,1,0,0
557,control,0,1,0,0
557,treatment,1,1,0,0
558,control,1,2,0,0
558,treatment,1,2,1,20
559,control,0,1,0,0
559,treatment,1,2,1,20
560,control,1,1,0,0
561,control,1,2,0,0
561,treatment,1,2,0,0
562,control,1,2,1,20
562,treatment,1,2,0,0
563,control,0,2,0,0
563,treatment,0,1,0,0
564,control,0,1,0,0
564,treatment,1,1,1,20
565,control,1,1,1,20
565,treatment,1,2,0,0
566,control,1,2,1,20
566,treatment,1,1,0,0
567,control,0,1,0,0
567,treatment,1,2,1,20
568,control,0,2,0,0
568,treatment,1,2,1,20
569,control,1,2,0,0
569,treatment,1,3,0,0
570,control,1,2,1,20
570,treatment,1,2,0,0
571,control,0,1,0,0
571,treatment,1,1,1,20
572,control,1,2,0,0
572,treatment,1,2,0,0
573,control,0,3,0,0
573,treatment,1,2,0,0
574,control,1,3,0,0
574,treatment,1,2,0,0
575,control,1,1,0,0
576,control,1,1,1,20
576,treatment,1,2,1,20
577,control,1,3,0,0
577,treatment,1,3,0,0
578,treatment,1,2,0,0
579,control,0,2,0,0
579,treatment,1,3,0,0
580,control,1,1,1,20
581,control,0,1,0,0
581,treatment,0,1,0,0
582,control,1,1,0,0
582,treatment,1,1,1,20
583,treatment,0,1,0,0
584,control,1,3,0,0
584,treatment,1,3,1,20
585,control,0,3,0,0
585,treatment,1,2,0,0
586,control,0,1,0,0
587,control,0,2,0,0
