prompt_id,session_id,user_id,prompt_type,prompt_quality_score,prompt_attempt_number,output_id,output_quality_score,feedback,edited_output,good_output_flag,experiment_group,new_output_quality,new_feedback,new_good_output_flag
85,32,13,report,9,2,85,10,good,0,1,treatment,9,good,1
86,32,13,report,9,3,86,8,good,0,1,treatment,10,good,1
87,32,13,report,8,4,87,7,good,0,1,treatment,8,good,1
88,33,14,assignment,4,1,88,3,bad,1,0,control,5,bad,0
89,33,14,assignment,5,2,89,7,good,0,1,control,4,bad,0
90,33,14,assignment,7,3,90,6,bad,1,0,treatment,6,bad,0
91,33,14,summary,6,4,91,4,bad,1,0,treatment,8,good,1
92,33,14,summary,7,5,92,6,bad,1,0,treatment,9,good,1
93,34,14,summary,5,1,93,6,bad,1,0,control,5,bad,0
94,34,14,assignment,5,2,94,4,bad,1,0,control,6,bad,0
95,34,14,assignment,6,3,95,5,bad,1,0,treatment,8,good,1
96,34,14,assignment,6,4,96,4,bad,1,0,treatment,7,good,1
97,34,14,assignment,5,5,97,5,bad,1,0,control,5,bad,0
98,35,15,assignment,7,1,98,4,bad,1,0,treatment,7,good,1
99,35,15,summary,7,2,99,7,good,0,1,control,7,good,1
100,35,15,assignment,6,3,100,6,bad,1,0,treatment,7,good,1
101,35,15,summary,7,4,101,6,bad,1,0,treatment,8,good,1
102,36,15,assignment,5,1,102,5,bad,1,0,control,6,bad,0
103,37,15,assignment,7,1,103,8,good,0,1,treatment,6,bad,0
104,38,16,assignment,6,1,104,4,bad,1,0,treatment,7,good,1
105,38,16,assignment,3,2,105,4,bad,1,0,control,2,bad,0
106,38,16,assignment,5,3,106,6,bad,1,0,control,6,bad,0
107,39,16,summary,4,1,107,3,bad,1,0,control,3,bad,0
108,39,16,summary,6,2,108,3,bad,1,0,treatment,5,bad,0
109,39,16,assignment,4,3,109,5,bad,1,0,control,3,bad,0
110,39,16,assignment,4,4,110,4,bad,1,0,control,4,bad,0
111,40,16,summary,4,1,111,3,bad,1,0,control,5,bad,0
112,41,17,summary,5,1,112,2,bad,1,0,treatment,5,bad,0
113,41,17,assignment,3,2,113,5,bad,1,0,control,5,bad,0
114,41,17,summary,5,3,114,4,bad,1,0,treatment,7,good,1
115,41,17,assignment,4,4,115,6,bad,1,0,control,5,bad,0
116,42,17,assignment,4,1,116,3,bad,1,0,control,6,bad,0
117,42,17,assignment,5,2,117,6,bad,1,0,control,6,bad,0
118,43,17,assignment,5,1,118,7,good,0,1,control,6,bad,0
119,43,17,assignment,4,2,119,6,bad,1,0,control,4,bad,0
120,44,18,assignment,5,1,120,3,bad,1,0,treatment,5,bad,0
121,44,18,assignment,5,2,121,3,bad,1,0,treatment,6,bad,0
122,44,18,summary,5,3,122,4,bad,1,0,treatment,6,bad,0
123,44,18,summary,3,4,123,5,bad,1,0,control,4,bad,0
124,45,18,assignment,6,1,124,6,bad,1,0,treatment,7,good,1
125,45,18,assignment,6,2,125,5,bad,1,0,treatment,8,good,1
126,45,18,assignment,4,3,126,4,bad,1,0,control,6,bad,0
127,45,18,assignment,6,4,127,6,bad,1,0,treatment,6,bad,0
128,46,18,assignment,6,1,128,4,bad,1,0,treatment,7,good,1
129,46,18,assignment,3,2,129,5,bad,1,0,control,4,bad,0
130,46,18,assignment,4,3,130,3,bad,1,0,control,6,bad,0
131,46,18,assignment,5,4,131,2,bad,1,0,treatment,4,bad,0
132,47,19,assignment,3,1,132,3,bad,1,0,control,2,bad,0
133,47,19,summary,5,2,133,5,bad,1,0,treatment,5,bad,0
134,47,19,assignment,3,3,134,5,bad,1,0,control,4,bad,0
135,47,19,assignment,7,4,135,5,bad,1,0,treatment,7,good,1
136,48,20,assignment,6,1,136,3,bad,1,0,treatment,8,good,1
137,49,20,assignment,5,1,137,2,bad,1,0,treatment,4,bad,0
138,49,20,assignment,6,2,138,5,bad,1,0,treatment,8,good,1
139,49,20,summary,4,3,139,5,bad,1,0,control,4,bad,0
140,50,20,assignment,7,1,140,7,good,0,1,treatment,8,good,1
141,50,20,summary,4,2,141,6,bad,1,0,control,6,bad,0
142,50,20,assignment,5,3,142,4,bad,1,0,treatment,4,bad,0
143,50,20,assignment,5,4,143,5,bad,1,0,control,5,bad,0
144,51,21,report,4,1,144,5,bad,1,0,control,3,bad,0
145,51,21,report,7,2,145,6,bad,1,0,treatment,7,good,1
146,51,21,report,5,3,146,6,bad,1,0,control,7,good,1
147,52,21,summary,3,1,147,3,bad,1,0,control,4,bad,0
148,52,21,report,4,2,148,4,bad,1,0,control,4,bad,0
149,52,21,report,5,3,149,2,bad,1,0,treatment,5,bad,0
150,52,21,summary,6,4,150,4,bad,1,0,treatment,5,bad,0
151,53,22,assignment,5,1,151,3,bad,1,0,treatment,6,bad,0
152,53,22,assignment,6,2,152,5,bad,1,0,treatment,8,good,1
153,53,22,assignment,7,3,153,6,bad,1,0,treatment,9,good,1
154,54,22,assignment,3,1,154,2,bad,1,0,control,5,bad,0
155,54,22,assignment,3,2,155,3,bad,1,0,control,3,bad,0
156,55,22,assignment,5,1,156,7,good,0,1,control,5,bad,0
157,55,22,assignment,5,2,157,7,good,0,1,control,7,good,1
158,56,23,assignment,8,1,158,7,good,0,1,treatment,9,good,1
159,56,23,assignment,7,2,159,9,good,0,1,treatment,7,good,1
160,56,23,assignment,7,3,160,7,good,0,1,control,6,bad,0
161,56,23,assignment,9,4,161,10,good,0,1,treatment,10,good,1
162,56,23,summary,7,5,162,7,good,0,1,treatment,8,good,1
163,57,23,assignment,8,1,163,10,good,0,1,treatment,10,good,1
164,57,23,summary,7,2,164,7,good,0,1,control,6,bad,0
165,57,23,assignment,8,3,165,7,good,0,1,control,7,good,1
166,57,23,assignment,8,4,166,8,good,0,1,control,7,good,1
167,57,23,assignment,8,5,167,10,good,0,1,control,8,good,1
168,58,23,summary,8,1,168,7,good,0,1,control,7,good,1
169,58,23,assignment,8,2,169,10,good,0,1,control,8,good,1
170,58,23,summary,9,3,170,10,good,0,1,treatment,10,good,1
171,58,23,summary,8,4,171,7,good,0,1,control,7,good,1
172,58,23,assignment,8,5,172,8,good,0,1,treatment,7,good,1
173,59,24,assignment,5,1,173,3,bad,1,0,treatment,5,bad,0
174,59,24,assignment,7,2,174,7,good,0,1,treatment,6,bad,0
175,59,24,assignment,7,3,175,5,bad,1,0,treatment,9,good,1
176,60,25,assignment,6,1,176,5,bad,1,0,treatment,8,good,1
177,61,26,summary,4,1,177,6,bad,1,0,control,6,bad,0
178,61,26,report,5,2,178,6,bad,1,0,control,5,bad,0
179,61,26,report,3,3,179,2,bad,1,0,control,4,bad,0
180,61,26,report,5,4,180,4,bad,1,0,control,7,good,1
181,62,26,summary,7,1,181,5,bad,1,0,treatment,7,good,1
182,62,26,report,5,2,182,6,bad,1,0,control,6,bad,0
183,62,26,summary,5,3,183,4,bad,1,0,control,5,bad,0
184,62,26,summary,7,4,184,6,bad,1,0,treatment,9,good,1
185,62,26,report,5,5,185,2,bad,1,0,treatment,5,bad,0
186,63,27,assignment,8,1,186,8,good,0,1,control,8,good,1
187,63,27,assignment,8,2,187,9,good,0,1,control,9,good,1
188,64,27,assignment,9,1,188,8,good,0,1,treatment,10,good,1
189,64,27,summary,9,2,189,10,good,0,1,treatment,9,good,1
190,64,27,assignment,9,3,190,10,good,0,1,treatment,10,good,1
191,64,27,assignment,8,4,191,7,good,0,1,control,10,good,1
192,65,27,assignment,7,1,192,9,good,0,1,control,7,good,1
193,65,27,assignment,7,2,193,6,bad,1,0,control,6,bad,0
194,66,28,assignment,9,1,194,9,good,0,1,control,8,good,1
195,67,28,assignment,8,1,195,10,good,0,1,control,7,good,1
196,67,28,summary,8,2,196,10,good,0,1,treatment,10,good,1
197,67,28,assignment,7,3,197,9,good,0,1,treatment,6,bad,0
198,67,28,assignment,7,4,198,7,good,0,1,treatment,9,good,1
199,68,28,summary,8,1,199,10,good,0,1,control,8,good,1
200,69,29,summary,5,1,200,6,bad,1,0,control,5,bad,0
201,70,30,assignment,6,1,201,5,bad,1,0,control,5,bad,0
202,70,30,assignment,7,2,202,8,good,0,1,control,8,good,1
203,71,30,assignment,6,1,203,8,good,0,1,treatment,8,good,1
204,71,30,assignment,7,2,204,4,bad,1,0,treatment,7,good,1
205,72,31,summary,7,1,205,6,bad,1,0,treatment,9,good,1
206,72,31,report,7,2,206,5,bad,1,0,treatment,7,good,1
207,72,31,summary,6,3,207,3,bad,1,0,treatment,5,bad,0
208,72,31,report,5,4,208,5,bad,1,0,treatment,5,bad,0
209,73,31,report,5,1,209,5,bad,1,0,treatment,5,bad,0
210,74,32,assignment,7,1,210,8,good,0,1,treatment,7,good,1
211,74,32,assignment,8,2,211,10,good,0,1,control,8,good,1
212,75,33,assignment,7,1,212,9,good,0,1,control,6,bad,0
213,75,33,assignment,7,2,213,7,good,0,1,treatment,6,bad,0
214,75,33,assignment,8,3,214,9,good,0,1,control,7,good,1
215,75,33,summary,7,4,215,8,good,0,1,control,9,good,1
216,76,34,report,7,1,216,7,good,0,1,control,8,good,1
217,76,34,summary,7,2,217,6,bad,1,0,treatment,8,good,1
218,76,34,report,9,3,218,8,good,0,1,treatment,9,good,1
219,76,34,summary,8,4,219,8,good,0,1,control,8,good,1
220,77,34,summary,9,1,220,9,good,0,1,control,9,good,1
221,77,34,report,9,2,221,10,good,0,1,treatment,9,good,1
222,77,34,summary,8,3,222,9,good,0,1,treatment,7,good,1
223,78,34,report,8,1,223,7,good,0,1,control,10,good,1
224,78,34,summary,9,2,224,10,good,0,1,treatment,9,good,1
225,78,34,report,9,3,225,9,good,0,1,treatment,10,good,1
226,78,34,report,9,4,226,10,good,0,1,control,10,good,1
227,79,35,report,7,1,227,8,good,0,1,control,9,good,1
228,79,35,report,7,2,228,7,good,0,1,control,8,good,1
229,79,35,report,6,3,229,5,bad,1,0,treatment,7,good,1
230,80,35,summary,5,1,230,7,good,0,1,control,4,bad,0
231,80,35,summary,7,2,231,6,bad,1,0,control,9,good,1
232,80,35,report,7,3,232,8,good,0,1,control,7,good,1
233,80,35,summary,7,4,233,6,bad,1,0,treatment,6,bad,0
234,80,35,summary,7,5,234,7,good,0,1,control,6,bad,0
235,81,36,report,7,1,235,5,bad,1,0,treatment,9,good,1
236,81,36,report,4,2,236,3,bad,1,0,control,3,bad,0
237,81,36,report,7,3,237,7,good,0,1,treatment,8,good,1
238,81,36,summary,5,4,238,3,bad,1,0,treatment,5,bad,0
239,81,36,summary,3,5,239,4,bad,1,0,control,5,bad,0
240,82,36,report,4,1,240,4,bad,1,0,control,3,bad,0
241,83,37,assignment,8,1,241,8,good,0,1,control,7,good,1
242,83,37,summary,8,2,242,8,good,0,1,treatment,9,good,1
243,83,37,summary,9,3,243,10,good,0,1,treatment,9,good,1
244,83,37,summary,8,4,244,7,good,0,1,treatment,10,good,1
245,84,38,assignment,5,1,245,6,bad,1,0,control,6,bad,0
246,84,38,assignment,4,2,246,3,bad,1,0,control,6,bad,0
247,84,38,assignment,5,3,247,5,bad,1,0,treatment,4,bad,0
248,84,38,assignment,7,4,248,6,bad,1,0,treatment,6,bad,0
249,85,39,summary,6,1,249,6,bad,1,0,treatment,8,good,1
250,85,39,report,5,2,250,5,bad,1,0,control,4,bad,0
251,85,39,summary,7,3,251,6,bad,1,0,treatment,7,good,1
252,86,40,assignment,3,1,252,2,bad,1,0,control,4,bad,0
253,86,40,summary,3,2,253,5,bad,1,0,control,2,bad,0
254,86,40,assignment,3,3,254,3,bad,1,0,control,2,bad,0
255,86,40,assignment,4,4,255,4,bad,1,0,control,4,bad,0
256,86,40,assignment,5,5,256,3,bad,1,0,treatment,4,bad,0
257,87,40,assignment,5,1,257,6,bad,1,0,control,5,bad,0
258,88,41,summary,9,1,258,9,good,0,1,control,10,good,1
259,88,41,assignment,8,2,259,10,good,0,1,control,7,good,1
260,88,41,assignment,8,3,260,9,good,0,1,control,10,good,1
261,88,41,summary,9,4,261,10,good,0,1,treatment,10,good,1
262,88,41,summary,8,5,262,7,good,0,1,treatment,8,good,1
263,89,42,assignment,5,1,263,5,bad,1,0,control,7,good,1
264,89,42,summary,4,2,264,3,bad,1,0,control,4,bad,0
265,89,42,assignment,6,3,265,4,bad,1,0,treatment,7,good,1
266,89,42,assignment,5,4,266,3,bad,1,0,treatment,4,bad,0
267,90,42,assignment,5,1,267,3,bad,1,0,treatment,6,bad,0
268,90,42,assignment,7,2,268,5,bad,1,0,treatment,9,good,1
269,91,43,assignment,7,1,269,7,good,0,1,treatment,8,good,1
270,91,43,assignment,3,2,270,5,bad,1,0,control,4,bad,0
271,91,43,assignment,6,3,271,3,bad,1,0,treatment,8,good,1
272,91,43,summary,5,4,272,3,bad,1,0,treatment,5,bad,0
273,92,44,report,6,1,273,6,bad,1,0,treatment,8,good,1
274,92,44,summary,6,2,274,5,bad,1,0,control,8,good,1
275,92,44,summary,5,3,275,4,bad,1,0,control,7,good,1
276,92,44,report,6,4,276,8,good,0,1,control,8,good,1
277,93,44,report,7,1,277,6,bad,1,0,treatment,6,bad,0
278,93,44,report,6,2,278,5,bad,1,0,treatment,5,bad,0
279,93,44,summary,6,3,279,8,good,0,1,control,7,good,1
280,93,44,report,7,4,280,6,bad,1,0,treatment,7,good,1
281,94,45,assignment,7,1,281,5,bad,1,0,treatment,6,bad,0
282,94,45,summary,6,2,282,7,good,0,1,control,8,good,1
283,94,45,assignment,6,3,283,7,good,0,1,control,7,good,1
284,95,46,report,7,1,284,6,bad,1,0,treatment,9,good,1
285,95,46,report,7,2,285,5,bad,1,0,treatment,9,good,1
286,95,46,summary,6,3,286,8,good,0,1,treatment,5,bad,0
287,95,46,summary,6,4,287,8,good,0,1,treatment,7,good,1
288,96,46,report,6,1,288,6,bad,1,0,control,6,bad,0
289,96,46,report,5,2,289,4,bad,1,0,control,4,bad,0
290,97,47,summary,3,1,290,2,bad,1,0,control,3,bad,0
291,97,47,summary,4,2,291,5,bad,1,0,control,4,bad,0
292,97,47,summary,5,3,292,3,bad,1,0,treatment,4,bad,0
293,97,47,assignment,5,4,293,4,bad,1,0,control,7,good,1
294,97,47,summary,4,5,294,6,bad,1,0,control,3,bad,0
295,98,47,assignment,4,1,295,6,bad,1,0,control,4,bad,0
296,98,47,assignment,5,2,296,2,bad,1,0,treatment,5,bad,0
297,98,47,summary,5,3,297,4,bad,1,0,treatment,7,good,1
298,98,47,assignment,5,4,298,5,bad,1,0,treatment,6,bad,0
299,98,47,summary,3,5,299,3,bad,1,0,control,4,bad,0
300,99,47,assignment,3,1,300,4,bad,1,0,control,3,bad,0
301,100,48,summary,6,1,301,3,bad,1,0,treatment,6,bad,0
302,100,48,assignment,6,2,302,6,bad,1,0,treatment,7,good,1
303,100,48,assignment,3,3,303,5,bad,1,0,control,2,bad,0
304,100,48,assignment,7,4,304,5,bad,1,0,treatment,7,good,1
305,100,48,assignment,5,5,305,4,bad,1,0,control,4,bad,0
306,101,48,summary,3,1,306,4,bad,1,0,control,5,bad,0
307,101,48,assignment,5,2,307,3,bad,1,0,treatment,7,good,1
308,102,48,assignment,3,1,308,5,bad,1,0,control,5,bad,0
309,102,48,assignment,5,2,309,5,bad,1,0,treatment,5,bad,0
310,102,48,summary,5,3,310,4,bad,1,0,treatment,4,bad,0
311,102,48,assignment,6,4,311,4,bad,1,0,treatment,7,good,1
312,103,49,assignment,7,1,312,7,good,0,1,control,8,good,1
313,103,49,assignment,7,2,313,8,good,0,1,treatment,6,bad,0
314,103,49,summary,7,3,314,8,good,0,1,treatment,8,good,1
315,104,49,assignment,7,1,315,6,bad,1,0,treatment,6,bad,0
316,104,49,assignment,7,2,316,8,good,0,1,treatment,9,good,1
317,104,49,summary,7,3,317,5,bad,1,0,treatment,9,good,1
318,105,50,assignment,7,1,318,7,good,0,1,control,8,good,1
319,106,50,assignment,8,1,319,8,good,0,1,treatment,7,good,1
320,106,50,summary,7,2,320,8,good,0,1,control,8,good,1
321,106,50,assignment,7,3,321,7,good,0,1,treatment,6,bad,0
322,107,50,assignment,7,1,322,7,good,0,1,treatment,8,good,1
323,107,50,assignment,7,2,323,8,good,0,1,treatment,6,bad,0
324,107,50,summary,9,3,324,8,good,0,1,treatment,8,good,1
325,107,50,assignment,7,4,325,9,good,0,1,treatment,8,good,1
326,107,50,assignment,7,5,326,8,good,0,1,treatment,9,good,1
327,108,51,report,8,1,327,9,good,0,1,control,10,good,1
328,108,51,summary,8,2,328,8,good,0,1,control,8,good,1
329,109,51,report,8,1,329,8,good,0,1,treatment,8,good,1
330,110,51,report,8,1,330,7,good,0,1,control,8,good,1
331,110,51,report,9,2,331,9,good,0,1,treatment,8,good,1
332,110,51,report,9,3,332,10,good,0,1,control,8,good,1
333,110,51,summary,7,4,333,8,good,0,1,treatment,8,good,1
334,110,51,report,9,5,334,10,good,0,1,treatment,10,good,1
335,111,52,summary,3,1,335,2,bad,1,0,control,2,bad,0
336,111,52,report,3,2,336,3,bad,1,0,control,3,bad,0
337,111,52,summary,6,3,337,6,bad,1,0,treatment,6,bad,0
338,112,52,report,6,1,338,3,bad,1,0,treatment,6,bad,0
339,112,52,report,3,2,339,5,bad,1,0,control,4,bad,0
340,112,52,summary,5,3,340,7,good,0,1,control,7,good,1
341,112,52,summary,7,4,341,6,bad,1,0,treatment,9,good,1
342,112,52,report,7,5,342,6,bad,1,0,treatment,7,good,1
343,113,52,report,4,1,343,5,bad,1,0,control,3,bad,0
344,114,53,report,7,1,344,9,good,0,1,control,8,good,1
345,114,53,summary,9,2,345,10,good,0,1,treatment,8,good,1
346,114,53,report,8,3,346,10,good,0,1,treatment,10,good,1
347,114,53,report,7,4,347,7,good,0,1,treatment,9,good,1
348,114,53,report,8,5,348,10,good,0,1,control,8,good,1
349,115,53,summary,9,1,349,10,good,0,1,control,8,good,1
350,115,53,report,7,2,350,8,good,0,1,treatment,6,bad,0
351,115,53,report,9,3,351,8,good,0,1,control,8,good,1
352,116,54,report,4,1,352,4,bad,1,0,control,6,bad,0
353,116,54,report,6,2,353,6,bad,1,0,treatment,8,good,1
354,116,54,report,5,3,354,4,bad,1,0,control,4,bad,0
355,116,54,summary,6,4,355,3,bad,1,0,treatment,5,bad,0
356,117,54,summary,7,1,356,4,bad,1,0,treatment,6,bad,0
357,117,54,report,5,2,357,5,bad,1,0,control,4,bad,0
358,117,54,summary,6,3,358,6,bad,1,0,treatment,6,bad,0
359,118,55,assignment,7,1,359,4,bad,1,0,treatment,8,good,1
360,118,55,assignment,6,2,360,8,good,0,1,control,8,good,1
361,118,55,summary,7,3,361,7,good,0,1,treatment,9,good,1
362,118,55,assignment,6,4,362,8,good,0,1,control,6,bad,0
363,119,55,assignment,5,1,363,4,bad,1,0,control,6,bad,0
364,119,55,summary,6,2,364,7,good,0,1,control,6,bad,0
365,120,55,assignment,7,1,365,8,good,0,1,treatment,6,bad,0
366,120,55,summary,7,2,366,6,bad,1,0,treatment,6,bad,0
367,121,56,summary,3,1,367,4,bad,1,0,control,4,bad,0
368,122,56,report,7,1,368,7,good,0,1,treatment,9,good,1
369,123,57,assignment,3,1,369,4,bad,1,0,control,3,bad,0
370,124,57,assignment,4,1,370,3,bad,1,0,control,4,bad,0
371,125,57,assignment,3,1,371,4,bad,1,0,control,2,bad,0
372,125,57,assignment,5,2,372,6,bad,1,0,control,4,bad,0
373,126,58,summary,6,1,373,5,bad,1,0,treatment,5,bad,0
374,127,58,assignment,7,1,374,8,good,0,1,treatment,8,good,1
375,127,58,assignment,6,2,375,6,bad,1,0,treatment,5,bad,0
376,127,58,assignment,7,3,376,7,good,0,1,control,8,good,1
377,128,59,assignment,7,1,377,9,good,0,1,control,6,bad,0
378,128,59,summary,6,2,378,5,bad,1,0,treatment,8,good,1
379,129,59,assignment,6,1,379,7,good,0,1,control,5,bad,0
380,129,59,summary,5,2,380,6,bad,1,0,control,5,bad,0
381,129,59,assignment,7,3,381,6,bad,1,0,control,7,good,1
382,129,59,assignment,7,4,382,8,good,0,1,control,6,bad,0
383,130,60,assignment,7,1,383,4,bad,1,0,treatment,6,bad,0
384,130,60,assignment,5,2,384,5,bad,1,0,control,5,bad,0
385,130,60,assignment,6,3,385,4,bad,1,0,treatment,5,bad,0
386,130,60,assignment,5,4,386,5,bad,1,0,control,6,bad,0
387,130,60,summary,3,5,387,4,bad,1,0,control,5,bad,0
388,131,60,assignment,7,1,388,4,bad,1,0,treatment,6,bad,0
389,131,60,summary,5,2,389,4,bad,1,0,treatment,6,bad,0
390,131,60,assignment,6,3,390,3,bad,1,0,treatment,7,good,1
391,131,60,assignment,3,4,391,2,bad,1,0,control,4,bad,0
392,132,60,assignment,3,1,392,2,bad,1,0,control,3,bad,0
393,132,60,assignment,6,2,393,3,bad,1,0,treatment,5,bad,0
394,132,60,summary,5,3,394,2,bad,1,0,treatment,7,good,1
395,132,60,assignment,3,4,395,2,bad,1,0,control,4,bad,0
396,133,61,assignment,4,1,396,5,bad,1,0,control,5,bad,0
397,134,61,assignment,3,1,397,2,bad,1,0,control,2,bad,0
398,134,61,assignment,6,2,398,5,bad,1,0,treatment,8,good,1
399,134,61,summary,6,3,399,5,bad,1,0,treatment,6,bad,0
400,134,61,assignment,7,4,400,5,bad,1,0,treatment,6,bad,0
401,135,62,summary,7,1,401,4,bad,1,0,treatment,9,good,1
402,135,62,assignment,6,2,402,6,bad,1,0,treatment,8,good,1
403,135,62,summary,6,3,403,5,bad,1,0,treatment,6,bad,0
404,135,62,summary,3,4,404,4,bad,1,0,control,4,bad,0
405,136,62,assignment,5,1,405,4,bad,1,0,control,5,bad,0
406,136,62,assignment,7,2,406,4,bad,1,0,treatment,6,bad,0
407,136,62,summary,4,3,407,3,bad,1,0,control,3,bad,0
408,137,62,assignment,7,1,408,7,good,0,1,treatment,8,good,1
409,137,62,summary,5,2,409,5,bad,1,0,control,6,bad,0
410,137,62,assignment,3,3,410,4,bad,1,0,control,3,bad,0
411,138,63,report,5,1,411,6,bad,1,0,control,7,good,1
412,139,63,summary,6,1,412,5,bad,1,0,control,5,bad,0
413,139,63,report,5,2,413,7,good,0,1,control,6,bad,0
414,139,63,report,6,3,414,6,bad,1,0,control,6,bad,0
