session_id,user_id,session_number,session_date
287,140,1,2024-02-24
288,141,1,2024-03-17
289,141,2,2024-03-18
290,141,3,2024-03-19
291,142,1,2024-01-09
292,142,2,2024-01-10
293,143,1,2024-02-19
294,144,1,2024-02-18
295,144,2,2024-02-19
296,144,3,2024-02-20
297,145,1,2024-03-17
298,145,2,2024-03-18
299,145,3,2024-03-19
300,146,1,2024-02-29
301,146,2,2024-03-01
302,146,3,2024-03-02
303,147,1,2024-03-08
304,147,2,2024-03-09
305,148,1,2024-02-02
306,148,2,2024-02-03
307,149,1,2024-03-11
308,150,1,2024-01-02
309,150,2,2024-01-03
310,151,1,2024-03-28
311,151,2,2024-03-29
312,152,1,2024-01-15
313,152,2,2024-01-16
314,152,3,2024-01-17
315,153,1,2024-03-28
316,154,1,2024-03-09
317,154,2,2024-03-10
318,154,3,2024-03-11
319,155,1,2024-02-04
320,155,2,2024-02-05
321,156,1,2024-03-23
322,156,2,2024-03-24
323,156,3,2024-03-25
324,157,1,2024-02-13
325,157,2,2024-02-14
326,158,1,2024-01-15
327,158,2,2024-01-16
328,158,3,2024-01-17
329,159,1,2024-02-07
330,160,1,2024-02-25
331,161,1,2024-01-21
332,161,2,2024-01-22
333,161,3,2024-01-23
334,162,1,2024-02-28
335,163,1,2024-01-01
336,163,2,2024-01-02
337,163,3,2024-01-03
338,164,1,2024-02-03
339,164,2,2024-02-04
340,164,3,2024-02-05
341,165,1,2024-03-05
342,165,2,2024-03-06
343,165,3,2024-03-07
344,166,1,2024-01-23
345,166,2,2024-01-24
346,167,1,2024-03-05
347,167,2,2024-03-06
348,167,3,2024-03-07
349,168,1,2024-01-14
350,168,2,2024-01-15
351,168,3,2024-01-16
352,169,1,2024-03-21
353,170,1,2024-02-08
354,170,2,2024-02-09
355,170,3,2024-02-10
356,171,1,2024-03-22
357,171,2,2024-03-23
358,171,3,2024-03-24
359,172,1,2024-03-05
360,173,1,2024-03-18
361,174,1,2024-01-26
362,174,2,2024-01-27
363,174,3,2024-01-28
364,175,1,2024-01-20
365,175,2,2024-01-21
366,175,3,2024-01-22
367,176,1,2024-02-17
368,176,2,2024-02-18
369,176,3,2024-02-19
370,177,1,2024-01-21
371,178,1,2024-03-10
372,178,2,2024-03-11
373,178,3,2024-03-12
374,179,1,2024-03-08
375,179,2,2024-03-09
376,179,3,2024-03-10
377,180,1,2024-01-01
378,181,1,2024-03-17
379,181,2,2024-03-18
380,182,1,2024-02-11
381,182,2,2024-02-12
382,182,3,2024-02-13
383,183,1,2024-03-03
384,184,1,2024-01-03
385,185,1,2024-01-15
386,185,2,2024-01-16
387,185,3,2024-01-17
388,186,1,2024-02-16
389,186,2,2024-02-17
390,186,3,2024-02-18
391,187,1,2024-02-09
392,188,1,2024-01-31
393,189,1,2024-01-08
394,189,2,2024-01-09
395,190,1,2024-01-31
396,191,1,2024-03-13
397,192,1,2024-01-11
398,192,2,2024-01-12
399,192,3,2024-01-13
400,193,1,2024-01-11
401,193,2,2024-01-12
402,193,3,2024-01-13
403,194,1,2024-03-03
404,194,2,2024-03-04
405,195,1,2024-01-09
406,196,1,2024-03-09
407,196,2,2024-03-10
408,196,3,2024-03-11
409,197,1,2024-01-17
410,197,2,2024-01-18
411,197,3,2024-01-19
412,198,1,2024-01-17
413,198,2,2024-01-18
414,199,1,2024-03-25
415,199,2,2024-03-26
416,200,1,2024-03-01
417,200,2,2024-03-02
418,200,3,2024-03-03
419,201,1,2024-03-11
420,202,1,2024-01-22
421,202,2,2024-01-23
422,203,1,2024-02-03
423,204,1,2024-03-08
424,204,2,2024-03-09
425,205,1,2024-03-18
426,205,2,2024-03-19
427,206,1,2024-02-24
428,207,1,2024-01-28
429,207,2,2024-01-29
430,208,1,2024-03-10
431,209,1,2024-03-29
432,209,2,2024-03-30
433,209,3,2024-03-31
434,210,1,2024-01-26
435,210,2,2024-01-27
436,211,1,2024-02-09
437,211,2,2024-02-10
438,212,1,2024-02-21
439,212,2,2024-02-22
440,213,1,2024-03-26
441,214,1,2024-03-24
442,215,1,2024-02-17
443,216,1,2024-02-26
444,216,2,2024-02-27
445,216,3,2024-02-28
446,217,1,2024-03-07
447,218,1,2024-02-27
448,218,2,2024-02-28
449,219,1,2024-01-16
450,220,1,2024-02-01
451,221,1,2024-01-29
452,221,2,2024-01-30
453,222,1,2024-01-09
454,223,1,2024-02-13
455,224,1,2024-01-03
456,224,2,2024-01-04
457,225,1,2024-03-16
458,225,2,2024-03-17
459,226,1,2024-03-11
460,226,2,2024-03-12
461,226,3,2024-03-13
462,227,1,2024-01-30
463,228,1,2024-03-16
464,229,1,2024-01-29
465,229,2,2024-01-30
466,229,3,2024-01-31
467,230,1,2024-01-01
468,230,2,2024-01-02
469,231,1,2024-01-10
470,232,1,2024-03-31
471,233,1,2024-03-21
472,233,2,2024-03-22
473,233,3,2024-03-23
474,234,1,2024-01-08
475,235,1,2024-01-30
476,235,2,2024-01-31
477,236,1,2024-01-09
478,236,2,2024-01-10
479,237,1,2024-01-05
480,238,1,2024-02-12
481,238,2,2024-02-13
482,239,1,2024-01-10
483,240,1,2024-03-06
484,240,2,2024-03-07
485,241,1,2024-01-31
486,241,2,2024-02-01
487,242,1,2024-02-05
488,242,2,2024-02-06
489,243,1,2024-03-26
490,243,2,2024-03-27
491,244,1,2024-03-03
492,245,1,2024-01-28
493,246,1,2024-03-10
494,247,1,2024-01-17
495,248,1,2024-03-14
496,248,2,2024-03-15
497,248,3,2024-03-16
498,249,1,2024-03-14
499,249,2,2024-03-15
500,249,3,2024-03-16
501,250,1,2024-03-01
502,251,1,2024-02-01
503,251,2,2024-02-02
504,252,1,2024-03-01
505,252,2,2024-03-02
506,252,3,2024-03-03
507,253,1,2024-02-22
508,253,2,2024-02-23
509,253,3,2024-02-24
510,254,1,2024-01-25
511,254,2,2024-01-26
512,255,1,2024-01-13
513,256,1,2024-01-13
514,256,2,2024-01-14
515,257,1,2024-03-25
516,258,1,2024-02-25
517,258,2,2024-02-26
518,259,1,2024-02-15
519,259,2,2024-02-16
520,260,1,2024-02-24
521,260,2,2024-02-25
522,260,3,2024-02-26
523,261,1,2024-02-22
524,261,2,2024-02-23
525,262,1,2024-02-29
526,263,1,2024-01-07
527,263,2,2024-01-08
528,264,1,2024-03-27
529,265,1,2024-03-24
530,265,2,2024-03-25
531,266,1,2024-03-23
532,266,2,2024-03-24
533,266,3,2024-03-25
534,267,1,2024-01-13
535,268,1,2024-01-08
536,269,1,2024-02-21
537,269,2,2024-02-22
538,270,1,2024-02-13
539,270,2,2024-02-14
540,270,3,2024-02-15
541,271,1,2024-01-14
542,271,2,2024-01-15
543,271,3,2024-01-16
544,272,1,2024-02-01
545,272,2,2024-02-02
546,272,3,2024-02-03
547,273,1,2024-01-25
548,274,1,2024-01-25
549,275,1,2024-03-09
550,275,2,2024-03-10
551,275,3,2024-03-11
552,276,1,2024-02-27
553,276,2,2024-02-28
554,276,3,2024-02-29
555,277,1,2024-01-18
556,278,1,2024-02-24
557,278,2,2024-02-25
558,279,1,2024-01-24
559,279,2,2024-01-25
560,279,3,2024-01-26
561,280,1,2024-02-05
562,280,2,2024-02-06
563,281,1,2024-02-29
564,281,2,2024-03-01
565,282,1,2024-02-01
566,283,1,2024-01-10
567,283,2,2024-01-11
568,283,3,2024-01-12
569,284,1,2024-02-26
570,284,2,2024-02-27
571,284,3,2024-02-28
572,285,1,2024-03-11
573,286,1,2024-01-13
574,287,1,2024-01-07
575,287,2,2024-01-08
576,288,1,2024-03-24
577,288,2,2024-03-25
578,288,3,2024-03-26
579,289,1,2024-03-10
580,290,1,2024-01-02
581,291,1,2024-01-12
582,291,2,2024-01-13
583,291,3,2024-01-14
584,292,1,2024-01-31
585,292,2,2024-02-01
586,293,1,2024-01-22
587,293,2,2024-01-23
588,293,3,2024-01-24
589,294,1,2024-02-22
590,294,2,2024-02-23
591,295,1,2024-03-03
592,296,1,2024-03-02
593,297,1,2024-01-28
594,297,2,2024-01-29
595,298,1,2024-02-21
596,298,2,2024-02-22
597,298,3,2024-02-23
598,299,1,2024-01-08
599,299,2,2024-01-09
600,300,1,2024-01-22
601,300,2,2024-01-23
602,300,3,2024-01-24
603,301,1,2024-02-18
604,302,1,2024-01-01
605,303,1,2024-02-19
606,304,1,2024-02-03
607,304,2,2024-02-04
608,305,1,2024-02-28
609,305,2,2024-02-29
610,306,1,2024-02-06
611,306,2,2024-02-07
612,306,3,2024-02-08
613,307,1,2024-02-24
614,307,2,2024-02-25
615,308,1,2024-03-30
616,308,2,2024-03-31
617,308,3,2024-04-01
618,309,1,2024-03-12
619,309,2,2024-03-13
620,310,1,2024-03-25
621,310,2,2024-03-26
622,311,1,2024-03-03
623,311,2,2024-03-04
624,311,3,2024-03-05
625,312,1,2024-01-20
626,313,1,2024-01-25
627,313,2,2024-01-26
628,313,3,2024-01-27
629,314,1,2024-02-07
630,314,2,2024-02-08
631,314,3,2024-02-09
632,315,1,2024-01-28
633,315,2,2024-01-29
634,316,1,2024-01-08
635,317,1,2024-03-15
636,318,1,2024-03-10
637,318,2,2024-03-11
638,318,3,2024-03-12
639,319,1,2024-01-08
640,319,2,2024-01-09
641,319,3,2024-01-10
642,320,1,2024-02-10
643,320,2,2024-02-11
644,320,3,2024-02-12
645,321,1,2024-01-08
646,322,1,2024-01-07
647,322,2,2024-01-08
648,323,1,2024-03-15
649,324,1,2024-03-02
650,324,2,2024-03-03
651,325,1,2024-03-05
652,325,2,2024-03-06
653,325,3,2024-03-07
654,326,1,2024-03-08
655,327,1,2024-01-21
656,328,1,2024-01-08
657,328,2,2024-01-09
658,328,3,2024-01-10
659,329,1,2024-03-06
660,329,2,2024-03-07
661,329,3,2024-03-08
662,330,1,2024-01-11
663,330,2,2024-01-12
664,331,1,2024-01-24
665,331,2,2024-01-25
666,332,1,2024-01-09
667,333,1,2024-03-17
668,333,2,2024-03-18
669,333,3,2024-03-19
670,334,1,2024-01-09
671,334,2,2024-01-10
672,334,3,2024-01-11
673,335,1,2024-03-27
674,335,2,2024-03-28
675,336,1,2024-01-31
676,336,2,2024-02-01
677,336,3,2024-02-02
678,337,1,2024-02-21
679,337,2,2024-02-22
680,338,1,2024-01-16
681,338,2,2024-01-17
682,338,3,2024-01-18
683,339,1,2024-03-13
684,339,2,2024-03-14
685,340,1,2024-02-01
686,340,2,2024-02-02
687,340,3,2024-02-03
688,341,1,2024-03-15
689,341,2,2024-03-16
690,342,1,2024-03-17
691,342,2,2024-03-18
692,343,1,2024-01-06
693,344,1,2024-03-20
694,344,2,2024-03-21
695,344,3,2024-03-22
696,345,1,2024-01-11
697,345,2,2024-01-12
698,346,1,2024-02-23
699,346,2,2024-02-24
700,347,1,2024-03-25
701,348,1,2024-03-15
702,348,2,2024-03-16
703,349,1,2024-03-13
704,349,2,2024-03-14
705,349,3,2024-03-15
706,350,1,2024-03-07
707,350,2,2024-03-08
708,351,1,2024-02-10
709,352,1,2024-02-03
710,352,2,2024-02-04
711,352,3,2024-02-05
712,353,1,2024-01-27
713,354,1,2024-03-26
714,354,2,2024-03-27
715,354,3,2024-03-28
716,355,1,2024-02-10
717,356,1,2024-01-31
718,356,2,2024-02-01
719,356,3,2024-02-02
720,357,1,2024-02-03
721,357,2,2024-02-04
722,358,1,2024-02-20
723,359,1,2024-01-17
724,360,1,2024-03-26
725,360,2,2024-03-27
726,360,3,2024-03-28
727,361,1,2024-03-23
728,362,1,2024-02-08
729,362,2,2024-02-09
730,363,1,2024-02-28
731,363,2,2024-02-29
732,363,3,2024-03-01
733,364,1,2024-02-10
734,364,2,2024-02-11
735,364,3,2024-02-12
736,365,1,2024-01-10
737,365,2,2024-01-11
738,365,3,2024-01-12
739,366,1,2024-01-02
740,366,2,2024-01-03
741,367,1,2024-02-28
742,367,2,2024-02-29
743,368,1,2024-03-20
744,368,2,2024-03-21
745,368,3,2024-03-22
746,369,1,2024-03-13
747,370,1,2024-01-13
748,370,2,2024-01-14
749,370,3,2024-01-15
750,371,1,2024-01-10
751,371,2,2024-01-11
752,371,3,2024-01-12
753,372,1,2024-03-09
754,373,1,2024-01-28
755,373,2,2024-01-29
756,373,3,2024-01-30
757,374,1,2024-03-05
758,375,1,2024-02-03
759,375,2,2024-02-04
760,375,3,2024-02-05
761,376,1,2024-01-17
762,376,2,2024-01-18
763,377,1,2024-02-14
764,377,2,2024-02-15
765,377,3,2024-02-16
766,378,1,2024-01-09
767,379,1,2024-02-01
768,379,2,2024-02-02
769,380,1,2024-02-17
770,380,2,2024-02-18
771,381,1,2024-02-06
772,381,2,2024-02-07
773,381,3,2024-02-08
774,382,1,2024-01-21
775,382,2,2024-01-22
776,383,1,2024-02-26
777,383,2,2024-02-27
778,384,1,2024-03-10
779,385,1,2024-03-31
780,385,2,2024-04-01
781,385,3,2024-04-02
782,386,1,2024-02-08
783,387,1,2024-03-19
784,388,1,2024-03-24
785,388,2,2024-03-25
786,389,1,2024-03-08
787,389,2,2024-03-09
788,390,1,2024-01-02
789,391,1,2024-03-26
790,391,2,2024-03-27
791,392,1,2024-03-11
792,393,1,2024-02-08
793,394,1,2024-03-25
794,394,2,2024-03-26
795,394,3,2024-03-27
796,395,1,2024-01-14
797,396,1,2024-01-18
798,396,2,2024-01-19
799,397,1,2024-02-03
800,397,2,2024-02-04
801,397,3,2024-02-05
802,398,1,2024-01-15
803,398,2,2024-01-16
804,398,3,2024-01-17
805,399,1,2024-01-14
806,399,2,2024-01-15
807,400,1,2024-03-11
808,401,1,2024-01-20
809,402,1,2024-02-04
810,402,2,2024-02-05
811,402,3,2024-02-06
812,403,1,2024-02-06
813,403,2,2024-02-07
814,403,3,2024-02-08
815,404,1,2024-03-18
816,404,2,2024-03-19
817,405,1,2024-01-27
818,405,2,2024-01-28
819,405,3,2024-01-29
820,406,1,2024-02-13
821,407,1,2024-01-27
822,408,1,2024-03-28
823,408,2,2024-03-29
824,409,1,2024-03-22
825,409,2,2024-03-23
826,410,1,2024-02-03
827,411,1,2024-03-05
828,411,2,2024-03-06
829,412,1,2024-03-03
830,412,2,2024-03-04
831,413,1,2024-02-02
832,413,2,2024-02-03
833,413,3,2024-02-04
834,414,1,2024-01-07
835,414,2,2024-01-08
836,414,3,2024-01-09
837,415,1,2024-01-12
838,415,2,2024-01-13
839,415,3,2024-01-14
840,416,1,2024-03-22
841,417,1,2024-02-24
842,418,1,2024-02-05
843,419,1,2024-01-06
844,419,2,2024-01-07
845,419,3,2024-01-08
846,420,1,2024-01-01
847,420,2,2024-01-02
848,421,1,2024-02-12
849,422,1,2024-01-17
850,422,2,2024-01-18
851,423,1,2024-03-22
852,423,2,2024-03-23
853,423,3,2024-03-24
854,424,1,2024-02-03
855,424,2,2024-02-04
856,424,3,2024-02-05
857,425,1,2024-01-21
858,425,2,2024-01-22
859,426,1,2024-02-26
860,427,1,2024-03-11
861,427,2,2024-03-12
862,427,3,2024-03-13
863,428,1,2024-03-31
864,429,1,2024-02-24
865,429,2,2024-02-25
866,429,3,2024-02-26
867,430,1,2024-03-12
868,430,2,2024-03-13
869,430,3,2024-03-14
870,431,1,2024-01-02
871,431,2,2024-01-03
872,431,3,2024-01-04
873,432,1,2024-01-15
874,432,2,2024-01-16
875,432,3,2024-01-17
876,433,1,2024-01-10
877,433,2,2024-01-11
878,433,3,2024-01-12
879,434,1,2024-03-29
880,434,2,2024-03-30
881,434,3,2024-03-31
882,435,1,2024-01-20
883,435,2,2024-01-21
884,435,3,2024-01-22
885,436,1,2024-03-10
886,437,1,2024-01-05
887,438,1,2024-02-17
888,438,2,2024-02-18
889,438,3,2024-02-19
890,439,1,2024-03-15
891,440,1,2024-03-11
892,440,2,2024-03-12
893,440,3,2024-03-13
894,441,1,2024-01-19
895,442,1,2024-02-25
896,443,1,2024-01-17
897,443,2,2024-01-18
898,444,1,2024-01-06
899,444,2,2024-01-07
900,444,3,2024-01-08
901,445,1,2024-02-09
902,446,1,2024-02-16
903,446,2,2024-02-17
904,446,3,2024-02-18
905,447,1,2024-01-06
906,447,2,2024-01-07
907,447,3,2024-01-08
908,448,1,2024-02-15
909,448,2,2024-02-16
910,449,1,2024-01-27
911,450,1,2024-03-28
912,450,2,2024-03-29
913,450,3,2024-03-30
914,451,1,2024-02-01
915,452,1,2024-03-26
916,452,2,2024-03-27
917,452,3,2024-03-28
918,453,1,2024-01-14
919,453,2,2024-01-15
920,453,3,2024-01-16
921,454,1,2024-02-15
922,454,2,2024-02-16
923,454,3,2024-02-17
924,455,1,2024-03-12
925,455,2,2024-03-13
926,455,3,2024-03-14
927,456,1,2024-02-22
928,456,2,2024-02-23
929,457,1,2024-03-20
930,457,2,2024-03-21
931,457,3,2024-03-22
932,458,1,2024-01-20
933,458,2,2024-01-21
934,458,3,2024-01-22
935,459,1,2024-01-31
936,459,2,2024-02-01
937,460,1,2024-01-21
938,461,1,2024-01-23
939,461,2,2024-01-24
940,462,1,2024-02-22
941,462,2,2024-02-23
942,462,3,2024-02-24
943,463,1,2024-01-04
944,463,2,2024-01-05
945,463,3,2024-01-06
946,464,1,2024-01-23
947,464,2,2024-01-24
948,464,3,2024-01-25
949,465,1,2024-02-12
950,466,1,2024-02-22
951,466,2,2024-02-23
952,467,1,2024-03-26
953,467,2,2024-03-27
954,468,1,2024-02-01
955,468,2,2024-02-02
956,469,1,2024-02-04
957,469,2,2024-02-05
958,470,1,2024-01-21
959,471,1,2024-03-30
960,471,2,2024-03-31
961,471,3,2024-04-01
962,472,1,2024-01-14
963,472,2,2024-01-15
964,472,3,2024-01-16
965,473,1,2024-02-18
966,473,2,2024-02-19
967,474,1,2024-01-05
968,474,2,2024-01-06
969,475,1,2024-03-01
970,475,2,2024-03-02
971,476,1,2024-01-29
972,476,2,2024-01-30
973,476,3,2024-01-31
974,477,1,2024-01-26
975,478,1,2024-02-28
976,478,2,2024-02-29
977,478,3,2024-03-01
978,479,1,2024-02-14
979,480,1,2024-02-09
980,481,1,2024-01-30
981,481,2,2024-01-31
982,482,1,2024-01-29
983,482,2,2024-01-30
984,483,1,2024-01-04
985,483,2,2024-01-05
986,483,3,2024-01-06
987,484,1,2024-03-25
988,484,2,2024-03-26
989,485,1,2024-01-25
990,485,2,2024-01-26
991,486,1,2024-02-21
992,487,1,2024-02-12
993,487,2,2024-02-13
994,488,1,2024-02-05
995,489,1,2024-01-09
996,489,2,2024-01-10
997,490,1,2024-02-05
998,491,1,2024-02-14
999,491,2,2024-02-15
1000,491,3,2024-02-16
1001,492,1,2024-03-23
1002,493,1,2024-03-06
1003,493,2,2024-03-07
1004,493,3,2024-03-08
1005,494,1,2024-02-21
1006,495,1,2024-03-27
1007,495,2,2024-03-28
1008,495,3,2024-03-29
1009,496,1,2024-03-09
1010,496,2,2024-03-10
1011,497,1,2024-02-12
1012,498,1,2024-01-04
1013,499,1,2024-01-15
1014,500,1,2024-02-03
1015,501,1,2024-01-23
1016,501,2,2024-01-24
1017,502,1,2024-03-15
1018,502,2,2024-03-16
1019,503,1,2024-02-03
1020,504,1,2024-01-05
1021,504,2,2024-01-06
1022,504,3,2024-01-07
1023,505,1,2024-01-14
1024,505,2,2024-01-15
1025,505,3,2024-01-16
1026,506,1,2024-03-17
1027,507,1,2024-02-25
1028,508,1,2024-02-14
1029,508,2,2024-02-15
1030,509,1,2024-02-10
1031,509,2,2024-02-11
1032,510,1,2024-02-25
1033,511,1,2024-03-18
1034,511,2,2024-03-19
1035,511,3,2024-03-20
1036,512,1,2024-03-06
1037,512,2,2024-03-07
1038,512,3,2024-03-08
1039,513,1,2024-01-15
1040,513,2,2024-01-16
1041,514,1,2024-02-19
1042,514,2,2024-02-20
1043,515,1,2024-03-14
1044,516,1,2024-01-25
1045,517,1,2024-02-02
1046,517,2,2024-02-03
1047,518,1,2024-01-06
1048,519,1,2024-03-31
1049,519,2,2024-04-01
1050,520,1,2024-02-25
1051,521,1,2024-01-01
1052,521,2,2024-01-02
1053,522,1,2024-03-07
1054,522,2,2024-03-08
1055,522,3,2024-03-09
1056,523,1,2024-03-09
1057,524,1,2024-03-28
1058,525,1,2024-03-26
1059,525,2,2024-03-27
1060,525,3,2024-03-28
1061,526,1,2024-01-26
1062,526,2,2024-01-27
1063,526,3,2024-01-28
1064,527,1,2024-02-16
1065,527,2,2024-02-17
1066,528,1,2024-02-25
1067,529,1,2024-01-09
1068,529,2,2024-01-10
1069,529,3,2024-01-11
