output_id,prompt_id,output_quality_score,feedback,edited_output,good_output_flag
90,90,6,bad,1,0
91,91,4,bad,1,0
92,92,6,bad,1,0
93,93,6,bad,1,0
94,94,4,bad,1,0
95,95,5,bad,1,0
96,96,4,bad,1,0
97,97,5,bad,1,0
98,98,4,bad,1,0
99,99,7,good,0,1
100,100,6,bad,1,0
101,101,6,bad,1,0
102,102,5,bad,1,0
103,103,8,good,0,1
104,104,4,bad,1,0
105,105,4,bad,1,0
106,106,6,bad,1,0
107,107,3,bad,1,0
108,108,3,bad,1,0
109,109,5,bad,1,0
110,110,4,bad,1,0
111,111,3,bad,1,0
112,112,2,bad,1,0
113,113,5,bad,1,0
114,114,4,bad,1,0
115,115,6,bad,1,0
116,116,3,bad,1,0
117,117,6,bad,1,0
118,118,7,good,0,1
119,119,6,bad,1,0
120,120,3,bad,1,0
121,121,3,bad,1,0
122,122,4,bad,1,0
123,123,5,bad,1,0
124,124,6,bad,1,0
125,125,5,bad,1,0
126,126,4,bad,1,0
127,127,6,bad,1,0
128,128,4,bad,1,0
129,129,5,bad,1,0
130,130,3,bad,1,0
131,131,2,bad,1,0
132,132,3,bad,1,0
133,133,5,bad,1,0
134,134,5,bad,1,0
135,135,5,bad,1,0
136,136,3,bad,1,0
137,137,2,bad,1,0
138,138,5,bad,1,0
139,139,5,bad,1,0
140,140,7,good,0,1
141,141,6,bad,1,0
142,142,4,bad,1,0
143,143,5,bad,1,0
144,144,5,bad,1,0
145,145,6,bad,1,0
146,146,6,bad,1,0
147,147,3,bad,1,0
148,148,4,bad,1,0
149,149,2,bad,1,0
150,150,4,bad,1,0
151,151,3,bad,1,0
152,152,5,bad,1,0
153,153,6,bad,1,0
154,154,2,bad,1,0
155,155,3,bad,1,0
156,156,7,good,0,1
157,157,7,good,0,1
158,158,7,good,0,1
159,159,9,good,0,1
160,160,7,good,0,1
161,161,10,good,0,1
162,162,7,good,0,1
163,163,10,good,0,1
164,164,7,good,0,1
165,165,7,good,0,1
166,166,8,good,0,1
167,167,10,good,0,1
168,168,7,good,0,1
169,169,10,good,0,1
170,170,10,good,0,1
171,171,7,good,0,1
172,172,8,good,0,1
173,173,3,bad,1,0
174,174,7,good,0,1
175,175,5,bad,1,0
176,176,5,bad,1,0
177,177,6,bad,1,0
178,178,6,bad,1,0
179,179,2,bad,1,0
180,180,4,bad,1,0
181,181,5,bad,1,0
182,182,6,bad,1,0
183,183,4,bad,1,0
184,184,6,bad,1,0
185,185,2,bad,1,0
186,186,8,good,0,1
187,187,9,good,0,1
188,188,8,good,0,1
189,189,10,good,0,1
190,190,10,good,0,1
191,191,7,good,0,1
192,192,9,good,0,1
193,193,6,bad,1,0
194,194,9,good,0,1
195,195,10,good,0,1
196,196,10,good,0,1
197,197,9,good,0,1
198,198,7,good,0,1
199,199,10,good,0,1
200,200,6,bad,1,0
201,201,5,bad,1,0
202,202,8,good,0,1
203,203,8,good,0,1
204,204,4,bad,1,0
205,205,6,bad,1,0
206,206,5,bad,1,0
207,207,3,bad,1,0
208,208,5,bad,1,0
209,209,5,bad,1,0
210,210,8,good,0,1
211,211,10,good,0,1
212,212,9,good,0,1
213,213,7,good,0,1
214,214,9,good,0,1
215,215,8,good,0,1
216,216,7,good,0,1
217,217,6,bad,1,0
218,218,8,good,0,1
219,219,8,good,0,1
220,220,9,good,0,1
221,221,10,good,0,1
222,222,9,good,0,1
223,223,7,good,0,1
224,224,10,good,0,1
225,225,9,good,0,1
226,226,10,good,0,1
227,227,8,good,0,1
228,228,7,good,0,1
229,229,5,bad,1,0
230,230,7,good,0,1
231,231,6,bad,1,0
232,232,8,good,0,1
233,233,6,bad,1,0
234,234,7,good,0,1
235,235,5,bad,1,0
236,236,3,bad,1,0
237,237,7,good,0,1
238,238,3,bad,1,0
239,239,4,bad,1,0
240,240,4,bad,1,0
241,241,8,good,0,1
242,242,8,good,0,1
243,243,10,good,0,1
244,244,7,good,0,1
245,245,6,bad,1,0
246,246,3,bad,1,0
247,247,5,bad,1,0
248,248,6,bad,1,0
249,249,6,bad,1,0
250,250,5,bad,1,0
251,251,6,bad,1,0
252,252,2,bad,1,0
253,253,5,bad,1,0
254,254,3,bad,1,0
255,255,4,bad,1,0
256,256,3,bad,1,0
257,257,6,bad,1,0
258,258,9,good,0,1
259,259,10,good,0,1
260,260,9,good,0,1
261,261,10,good,0,1
262,262,7,good,0,1
263,263,5,bad,1,0
264,264,3,bad,1,0
265,265,4,bad,1,0
266,266,3,bad,1,0
267,267,3,bad,1,0
268,268,5,bad,1,0
269,269,7,good,0,1
270,270,5,bad,1,0
271,271,3,bad,1,0
272,272,3,bad,1,0
273,273,6,bad,1,0
274,274,5,bad,1,0
275,275,4,bad,1,0
276,276,8,good,0,1
277,277,6,bad,1,0
278,278,5,bad,1,0
279,279,8,good,0,1
280,280,6,bad,1,0
281,281,5,bad,1,0
282,282,7,good,0,1
283,283,7,good,0,1
284,284,6,bad,1,0
285,285,5,bad,1,0
286,286,8,good,0,1
287,287,8,good,0,1
288,288,6,bad,1,0
289,289,4,bad,1,0
290,290,2,bad,1,0
291,291,5,bad,1,0
292,292,3,bad,1,0
293,293,4,bad,1,0
294,294,6,bad,1,0
295,295,6,bad,1,0
296,296,2,bad,1,0
297,297,4,bad,1,0
298,298,5,bad,1,0
299,299,3,bad,1,0
300,300,4,bad,1,0
301,301,3,bad,1,0
302,302,6,bad,1,0
303,303,5,bad,1,0
304,304,5,bad,1,0
305,305,4,bad,1,0
306,306,4,bad,1,0
307,307,3,bad,1,0
308,308,5,bad,1,0
309,309,5,bad,1,0
310,310,4,bad,1,0
311,311,4,bad,1,0
312,312,7,good,0,1
313,313,8,good,0,1
314,314,8,good,0,1
315,315,6,bad,1,0
316,316,8,good,0,1
317,317,5,bad,1,0
318,318,7,good,0,1
319,319,8,good,0,1
320,320,8,good,0,1
321,321,7,good,0,1
322,322,7,good,0,1
323,323,8,good,0,1
324,324,8,good,0,1
325,325,9,good,0,1
326,326,8,good,0,1
327,327,9,good,0,1
328,328,8,good,0,1
329,329,8,good,0,1
330,330,7,good,0,1
331,331,9,good,0,1
332,332,10,good,0,1
333,333,8,good,0,1
334,334,10,good,0,1
335,335,2,bad,1,0
336,336,3,bad,1,0
337,337,6,bad,1,0
338,338,3,bad,1,0
339,339,5,bad,1,0
340,340,7,good,0,1
341,341,6,bad,1,0
342,342,6,bad,1,0
343,343,5,bad,1,0
344,344,9,good,0,1
345,345,10,good,0,1
346,346,10,good,0,1
347,347,7,good,0,1
348,348,10,good,0,1
349,349,10,good,0,1
350,350,8,good,0,1
351,351,8,good,0,1
352,352,4,bad,1,0
353,353,6,bad,1,0
354,354,4,bad,1,0
355,355,3,bad,1,0
356,356,4,bad,1,0
357,357,5,bad,1,0
358,358,6,bad,1,0
359,359,4,bad,1,0
360,360,8,good,0,1
361,361,7,good,0,1
362,362,8,good,0,1
363,363,4,bad,1,0
364,364,7,good,0,1
365,365,8,good,0,1
366,366,6,bad,1,0
367,367,4,bad,1,0
368,368,7,good,0,1
369,369,4,bad,1,0
370,370,3,bad,1,0
371,371,4,bad,1,0
372,372,6,bad,1,0
373,373,5,bad,1,0
374,374,8,good,0,1
375,375,6,bad,1,0
376,376,7,good,0,1
377,377,9,good,0,1
378,378,5,bad,1,0
379,379,7,good,0,1
380,380,6,bad,1,0
381,381,6,bad,1,0
382,382,8,good,0,1
383,383,4,bad,1,0
384,384,5,bad,1,0
385,385,4,bad,1,0
386,386,5,bad,1,0
387,387,4,bad,1,0
388,388,4,bad,1,0
389,389,4,bad,1,0
390,390,3,bad,1,0
391,391,2,bad,1,0
392,392,2,bad,1,0
393,393,3,bad,1,0
394,394,2,bad,1,0
395,395,2,bad,1,0
396,396,5,bad,1,0
397,397,2,bad,1,0
398,398,5,bad,1,0
399,399,5,bad,1,0
400,400,5,bad,1,0
401,401,4,bad,1,0
402,402,6,bad,1,0
403,403,5,bad,1,0
404,404,4,bad,1,0
405,405,4,bad,1,0
406,406,4,bad,1,0
407,407,3,bad,1,0
408,408,7,good,0,1
409,409,5,bad,1,0
410,410,4,bad,1,0
411,411,6,bad,1,0
412,412,5,bad,1,0
413,413,7,good,0,1
414,414,6,bad,1,0
415,415,5,bad,1,0
416,416,3,bad,1,0
417,417,4,bad,1,0
418,418,6,bad,1,0
419,419,6,bad,1,0
420,420,7,good,0,1
421,421,7,good,0,1
422,422,8,good,0,1
423,423,5,bad,1,0
424,424,6,bad,1,0
425,425,7,good,0,1
426,426,9,good,0,1
427,427,6,bad,1,0
428,428,8,good,0,1
429,429,7,good,0,1
430,430,7,good,0,1
431,431,7,good,0,1
432,432,7,good,0,1
433,433,5,bad,1,0
434,434,4,bad,1,0
435,435,6,bad,1,0
436,436,6,bad,1,0
437,437,6,bad,1,0
438,438,6,bad,1,0
439,439,8,good,0,1
440,440,6,bad,1,0
441,441,5,bad,1,0
442,442,7,good,0,1
443,443,9,good,0,1
444,444,8,good,0,1
445,445,7,good,0,1
446,446,8,good,0,1
447,447,9,good,0,1
448,448,7,good,0,1
449,449,9,good,0,1
450,450,6,bad,1,0
451,451,7,good,0,1
452,452,5,bad,1,0
453,453,8,good,0,1
454,454,9,good,0,1
455,455,10,good,0,1
456,456,8,good,0,1
457,457,9,good,0,1
458,458,10,good,0,1
459,459,10,good,0,1
460,460,8,good,0,1
461,461,9,good,0,1
462,462,10,good,0,1
463,463,10,good,0,1
464,464,9,good,0,1
465,465,6,bad,1,0
466,466,9,good,0,1
467,467,9,good,0,1
468,468,10,good,0,1
469,469,10,good,0,1
470,470,8,good,0,1
471,471,6,bad,1,0
472,472,10,good,0,1
473,473,9,good,0,1
474,474,7,good,0,1
475,475,6,bad,1,0
476,476,6,bad,1,0
477,477,5,bad,1,0
478,478,5,bad,1,0
479,479,5,bad,1,0
480,480,8,good,0,1
481,481,5,bad,1,0
482,482,4,bad,1,0
483,483,8,good,0,1
484,484,5,bad,1,0
485,485,7,good,0,1
486,486,6,bad,1,0
487,487,5,bad,1,0
488,488,6,bad,1,0
489,489,5,bad,1,0
490,490,7,good,0,1
491,491,6,bad,1,0
492,492,2,bad,1,0
493,493,9,good,0,1
494,494,6,bad,1,0
495,495,10,good,0,1
496,496,10,good,0,1
497,497,4,bad,1,0
498,498,2,bad,1,0
499,499,5,bad,1,0
500,500,3,bad,1,0
501,501,5,bad,1,0
502,502,4,bad,1,0
503,503,7,good,0,1
504,504,7,good,0,1
505,505,4,bad,1,0
506,506,6,bad,1,0
507,507,2,bad,1,0
508,508,6,bad,1,0
509,509,6,bad,1,0
510,510,4,bad,1,0
511,511,3,bad,1,0
512,512,3,bad,1,0
513,513,4,bad,1,0
514,514,4,bad,1,0
515,515,2,bad,1,0
516,516,5,bad,1,0
517,517,4,bad,1,0
518,518,6,bad,1,0
519,519,4,bad,1,0
520,520,6,bad,1,0
521,521,5,bad,1,0
522,522,4,bad,1,0
523,523,6,bad,1,0
524,524,10,good,0,1
525,525,10,good,0,1
526,526,9,good,0,1
527,527,7,good,0,1
528,528,6,bad,1,0
529,529,7,good,0,1
530,530,6,bad,1,0
531,531,7,good,0,1
532,532,6,bad,1,0
533,533,4,bad,1,0
534,534,7,good,0,1
535,535,6,bad,1,0
536,536,5,bad,1,0
537,537,5,bad,1,0
538,538,9,good,0,1
539,539,8,good,0,1
540,540,6,bad,1,0
541,541,4,bad,1,0
542,542,8,good,0,1
543,543,6,bad,1,0
544,544,7,good,0,1
545,545,6,bad,1,0
546,546,8,good,0,1
547,547,4,bad,1,0
548,548,7,good,0,1
549,549,6,bad,1,0
550,550,5,bad,1,0
551,551,3,bad,1,0
552,552,5,bad,1,0
553,553,3,bad,1,0
554,554,7,good,0,1
555,555,3,bad,1,0
556,556,5,bad,1,0
557,557,6,bad,1,0
558,558,6,bad,1,0
559,559,9,good,0,1
560,560,9,good,0,1
561,561,6,bad,1,0
562,562,8,good,0,1
563,563,8,good,0,1
564,564,5,bad,1,0
565,565,8,good,0,1
566,566,7,good,0,1
567,567,5,bad,1,0
568,568,6,bad,1,0
569,569,7,good,0,1
570,570,6,bad,1,0
571,571,7,good,0,1
572,572,6,bad,1,0
573,573,7,good,0,1
574,574,7,good,0,1
575,575,6,bad,1,0
576,576,2,bad,1,0
577,577,9,good,0,1
578,578,8,good,0,1
579,579,6,bad,1,0
580,580,5,bad,1,0
581,581,5,bad,1,0
582,582,7,good,0,1
583,583,3,bad,1,0
584,584,4,bad,1,0
585,585,2,bad,1,0
586,586,5,bad,1,0
587,587,2,bad,1,0
588,588,4,bad,1,0
589,589,3,bad,1,0
590,590,6,bad,1,0
591,591,6,bad,1,0
592,592,4,bad,1,0
593,593,5,bad,1,0
594,594,4,bad,1,0
595,595,4,bad,1,0
596,596,2,bad,1,0
597,597,2,bad,1,0
598,598,4,bad,1,0
599,599,7,good,0,1
600,600,5,bad,1,0
601,601,4,bad,1,0
602,602,5,bad,1,0
603,603,6,bad,1,0
604,604,8,good,0,1
605,605,9,good,0,1
606,606,10,good,0,1
607,607,9,good,0,1
608,608,9,good,0,1
609,609,8,good,0,1
610,610,6,bad,1,0
611,611,10,good,0,1
612,612,9,good,0,1
613,613,5,bad,1,0
614,614,2,bad,1,0
615,615,4,bad,1,0
616,616,3,bad,1,0
617,617,9,good,0,1
618,618,6,bad,1,0
619,619,7,good,0,1
620,620,5,bad,1,0
621,621,5,bad,1,0
622,622,5,bad,1,0
623,623,6,bad,1,0
624,624,5,bad,1,0
625,625,6,bad,1,0
626,626,6,bad,1,0
627,627,6,bad,1,0
628,628,5,bad,1,0
629,629,3,bad,1,0
630,630,2,bad,1,0
631,631,5,bad,1,0
632,632,5,bad,1,0
633,633,3,bad,1,0
634,634,7,good,0,1
635,635,4,bad,1,0
636,636,4,bad,1,0
637,637,5,bad,1,0
638,638,5,bad,1,0
639,639,3,bad,1,0
640,640,2,bad,1,0
641,641,8,good,0,1
642,642,10,good,0,1
643,643,9,good,0,1
644,644,8,good,0,1
645,645,6,bad,1,0
646,646,9,good,0,1
647,647,4,bad,1,0
648,648,6,bad,1,0
649,649,5,bad,1,0
650,650,5,bad,1,0
651,651,9,good,0,1
652,652,7,good,0,1
653,653,10,good,0,1
654,654,7,good,0,1
655,655,5,bad,1,0
656,656,4,bad,1,0
657,657,4,bad,1,0
658,658,5,bad,1,0
659,659,6,bad,1,0
660,660,6,bad,1,0
661,661,7,good,0,1
662,662,5,bad,1,0
663,663,4,bad,1,0
664,664,5,bad,1,0
665,665,4,bad,1,0
666,666,4,bad,1,0
667,667,4,bad,1,0
668,668,3,bad,1,0
669,669,4,bad,1,0
670,670,2,bad,1,0
671,671,3,bad,1,0
672,672,3,bad,1,0
673,673,3,bad,1,0
674,674,5,bad,1,0
675,675,3,bad,1,0
676,676,6,bad,1,0
677,677,5,bad,1,0
678,678,4,bad,1,0
679,679,9,good,0,1
680,680,6,bad,1,0
681,681,4,bad,1,0
682,682,5,bad,1,0
683,683,5,bad,1,0
684,684,7,good,0,1
685,685,5,bad,1,0
686,686,3,bad,1,0
687,687,4,bad,1,0
688,688,4,bad,1,0
689,689,5,bad,1,0
690,690,4,bad,1,0
691,691,6,bad,1,0
692,692,2,bad,1,0
693,693,7,good,0,1
694,694,2,bad,1,0
695,695,3,bad,1,0
696,696,3,bad,1,0
697,697,5,bad,1,0
698,698,6,bad,1,0
699,699,6,bad,1,0
700,700,8,good,0,1
701,701,7,good,0,1
702,702,7,good,0,1
703,703,6,bad,1,0
704,704,6,bad,1,0
705,705,8,good,0,1
706,706,9,good,0,1
707,707,8,good,0,1
708,708,4,bad,1,0
709,709,6,bad,1,0
710,710,5,bad,1,0
711,711,6,bad,1,0
712,712,6,bad,1,0
713,713,5,bad,1,0
714,714,4,bad,1,0
715,715,6,bad,1,0
716,716,4,bad,1,0
717,717,4,bad,1,0
718,718,5,bad,1,0
719,719,7,good,0,1
720,720,4,bad,1,0
721,721,6,bad,1,0
722,722,4,bad,1,0
723,723,4,bad,1,0
724,724,2,bad,1,0
725,725,5,bad,1,0
726,726,6,bad,1,0
727,727,4,bad,1,0
728,728,7,good,0,1
729,729,5,bad,1,0
730,730,5,bad,1,0
731,731,3,bad,1,0
732,732,7,good,0,1
733,733,8,good,0,1
734,734,4,bad,1,0
735,735,7,good,0,1
736,736,7,good,0,1
737,737,5,bad,1,0
738,738,6,bad,1,0
739,739,4,bad,1,0
740,740,6,bad,1,0
741,741,4,bad,1,0
742,742,4,bad,1,0
743,743,5,bad,1,0
744,744,2,bad,1,0
745,745,2,bad,1,0
746,746,5,bad,1,0
747,747,2,bad,1,0
748,748,4,bad,1,0
749,749,2,bad,1,0
750,750,3,bad,1,0
751,751,3,bad,1,0
752,752,8,good,0,1
753,753,9,good,0,1
754,754,9,good,0,1
755,755,8,good,0,1
756,756,7,good,0,1
757,757,5,bad,1,0
758,758,5,bad,1,0
759,759,9,good,0,1
760,760,7,good,0,1
761,761,7,good,0,1
762,762,6,bad,1,0
763,763,8,good,0,1
764,764,4,bad,1,0
765,765,3,bad,1,0
766,766,3,bad,1,0
767,767,5,bad,1,0
768,768,4,bad,1,0
769,769,7,good,0,1
770,770,6,bad,1,0
771,771,3,bad,1,0
772,772,10,good,0,1
773,773,7,good,0,1
774,774,10,good,0,1
775,775,7,good,0,1
776,776,3,bad,1,0
777,777,4,bad,1,0
778,778,4,bad,1,0
779,779,4,bad,1,0
780,780,6,bad,1,0
781,781,4,bad,1,0
782,782,2,bad,1,0
783,783,4,bad,1,0
784,784,9,good,0,1
785,785,9,good,0,1
786,786,10,good,0,1
787,787,7,good,0,1
788,788,5,bad,1,0
789,789,9,good,0,1
790,790,6,bad,1,0
791,791,7,good,0,1
792,792,6,bad,1,0
793,793,7,good,0,1
794,794,9,good,0,1
795,795,7,good,0,1
796,796,5,bad,1,0
797,797,6,bad,1,0
798,798,7,good,0,1
799,799,6,bad,1,0
800,800,5,bad,1,0
801,801,6,bad,1,0
802,802,7,good,0,1
803,803,5,bad,1,0
804,804,7,good,0,1
805,805,7,good,0,1
806,806,7,good,0,1
807,807,9,good,0,1
808,808,7,good,0,1
809,809,7,good,0,1
810,810,8,good,0,1
811,811,8,good,0,1
812,812,7,good,0,1
813,813,10,good,0,1
814,814,5,bad,1,0
815,815,4,bad,1,0
816,816,7,good,0,1
817,817,8,good,0,1
818,818,4,bad,1,0
819,819,5,bad,1,0
820,820,5,bad,1,0
821,821,5,bad,1,0
822,822,2,bad,1,0
823,823,2,bad,1,0
824,824,4,bad,1,0
825,825,4,bad,1,0
826,826,6,bad,1,0
827,827,2,bad,1,0
828,828,6,bad,1,0
829,829,7,good,0,1
830,830,6,bad,1,0
831,831,5,bad,1,0
832,832,5,bad,1,0
833,833,7,good,0,1
834,834,3,bad,1,0
835,835,3,bad,1,0
836,836,4,bad,1,0
837,837,6,bad,1,0
838,838,5,bad,1,0
839,839,3,bad,1,0
840,840,5,bad,1,0
841,841,4,bad,1,0
842,842,5,bad,1,0
843,843,5,bad,1,0
844,844,2,bad,1,0
845,845,6,bad,1,0
846,846,5,bad,1,0
847,847,5,bad,1,0
848,848,6,bad,1,0
849,849,5,bad,1,0
850,850,4,bad,1,0
851,851,7,good,0,1
852,852,4,bad,1,0
853,853,7,good,0,1
854,854,4,bad,1,0
855,855,4,bad,1,0
856,856,7,good,0,1
857,857,8,good,0,1
858,858,5,bad,1,0
859,859,4,bad,1,0
860,860,7,good,0,1
861,861,8,good,0,1
862,862,6,bad,1,0
863,863,7,good,0,1
864,864,5,bad,1,0
865,865,7,good,0,1
866,866,8,good,0,1
867,867,5,bad,1,0
868,868,4,bad,1,0
869,869,6,bad,1,0
870,870,5,bad,1,0
871,871,8,good,0,1
872,872,7,good,0,1
873,873,6,bad,1,0
874,874,6,bad,1,0
875,875,6,bad,1,0
876,876,5,bad,1,0
877,877,5,bad,1,0
878,878,6,bad,1,0
879,879,4,bad,1,0
880,880,6,bad,1,0
881,881,3,bad,1,0
882,882,4,bad,1,0
883,883,3,bad,1,0
884,884,6,bad,1,0
885,885,4,bad,1,0
886,886,3,bad,1,0
887,887,6,bad,1,0
888,888,2,bad,1,0
889,889,4,bad,1,0
890,890,9,good,0,1
891,891,2,bad,1,0
892,892,5,bad,1,0
893,893,5,bad,1,0
894,894,6,bad,1,0
895,895,4,bad,1,0
896,896,3,bad,1,0
897,897,2,bad,1,0
898,898,3,bad,1,0
899,899,2,bad,1,0
900,900,7,good,0,1
901,901,7,good,0,1
902,902,7,good,0,1
903,903,8,good,0,1
904,904,6,bad,1,0
905,905,5,bad,1,0
906,906,6,bad,1,0
907,907,6,bad,1,0
908,908,7,good,0,1
909,909,9,good,0,1
910,910,8,good,0,1
911,911,5,bad,1,0
912,912,6,bad,1,0
913,913,5,bad,1,0
914,914,8,good,0,1
915,915,7,good,0,1
916,916,9,good,0,1
917,917,6,bad,1,0
918,918,7,good,0,1
919,919,8,good,0,1
920,920,8,good,0,1
921,921,5,bad,1,0
922,922,8,good,0,1
923,923,6,bad,1,0
924,924,6,bad,1,0
925,925,4,bad,1,0
926,926,6,bad,1,0
927,927,7,good,0,1
928,928,4,bad,1,0
929,929,8,good,0,1
930,930,5,bad,1,0
931,931,5,bad,1,0
932,932,6,bad,1,0
933,933,6,bad,1,0
934,934,8,good,0,1
935,935,7,good,0,1
936,936,5,bad,1,0
937,937,2,bad,1,0
938,938,6,bad,1,0
939,939,9,good,0,1
940,940,6,bad,1,0
941,941,10,good,0,1
942,942,10,good,0,1
943,943,9,good,0,1
944,944,2,bad,1,0
945,945,3,bad,1,0
946,946,4,bad,1,0
947,947,7,good,0,1
948,948,4,bad,1,0
949,949,3,bad,1,0
950,950,5,bad,1,0
951,951,7,good,0,1
952,952,4,bad,1,0
953,953,5,bad,1,0
954,954,4,bad,1,0
955,955,6,bad,1,0
956,956,4,bad,1,0
957,957,5,bad,1,0
958,958,4,bad,1,0
959,959,5,bad,1,0
960,960,6,bad,1,0
961,961,3,bad,1,0
962,962,7,good,0,1
963,963,6,bad,1,0
964,964,7,good,0,1
965,965,6,bad,1,0
966,966,3,bad,1,0
967,967,2,bad,1,0
968,968,5,bad,1,0
969,969,3,bad,1,0
970,970,5,bad,1,0
971,971,5,bad,1,0
972,972,4,bad,1,0
973,973,4,bad,1,0
974,974,7,good,0,1
975,975,6,bad,1,0
976,976,6,bad,1,0
977,977,3,bad,1,0
978,978,5,bad,1,0
979,979,4,bad,1,0
980,980,5,bad,1,0
981,981,4,bad,1,0
982,982,6,bad,1,0
983,983,5,bad,1,0
984,984,2,bad,1,0
985,985,4,bad,1,0
986,986,6,bad,1,0
987,987,3,bad,1,0
988,988,5,bad,1,0
989,989,6,bad,1,0
990,990,4,bad,1,0
991,991,3,bad,1,0
992,992,5,bad,1,0
993,993,4,bad,1,0
994,994,10,good,0,1
995,995,9,good,0,1
996,996,9,good,0,1
997,997,10,good,0,1
998,998,9,good,0,1
999,999,4,bad,1,0
1000,1000,4,bad,1,0
1001,1001,4,bad,1,0
1002,1002,6,bad,1,0
1003,1003,8,good,0,1
1004,1004,8,good,0,1
1005,1005,9,good,0,1
1006,1006,6,bad,1,0
1007,1007,7,good,0,1
1008,1008,7,good,0,1
1009,1009,4,bad,1,0
1010,1010,7,good,0,1
1011,1011,9,good,0,1
1012,1012,4,bad,1,0
1013,1013,4,bad,1,0
1014,1014,4,bad,1,0
1015,1015,4,bad,1,0
1016,1016,6,bad,1,0
1017,1017,5,bad,1,0
1018,1018,2,bad,1,0
1019,1019,4,bad,1,0
1020,1020,3,bad,1,0
1021,1021,4,bad,1,0
1022,1022,6,bad,1,0
1023,1023,4,bad,1,0
1024,1024,2,bad,1,0
1025,1025,3,bad,1,0
1026,1026,4,bad,1,0
1027,1027,5,bad,1,0
1028,1028,4,bad,1,0
1029,1029,4,bad,1,0
1030,1030,4,bad,1,0
1031,1031,3,bad,1,0
1032,1032,2,bad,1,0
1033,1033,5,bad,1,0
1034,1034,10,good,0,1
1035,1035,9,good,0,1
1036,1036,8,good,0,1
1037,1037,7,good,0,1
1038,1038,5,bad,1,0
1039,1039,6,bad,1,0
1040,1040,3,bad,1,0
1041,1041,3,bad,1,0
1042,1042,4,bad,1,0
1043,1043,6,bad,1,0
1044,1044,2,bad,1,0
1045,1045,3,bad,1,0
1046,1046,5,bad,1,0
1047,1047,7,good,0,1
1048,1048,4,bad,1,0
1049,1049,3,bad,1,0
1050,1050,7,good,0,1
1051,1051,5,bad,1,0
1052,1052,2,bad,1,0
1053,1053,5,bad,1,0
1054,1054,5,bad,1,0
1055,1055,5,bad,1,0
1056,1056,4,bad,1,0
1057,1057,5,bad,1,0
1058,1058,4,bad,1,0
1059,1059,6,bad,1,0
1060,1060,3,bad,1,0
1061,1061,7,good,0,1
1062,1062,4,bad,1,0
1063,1063,3,bad,1,0
1064,1064,4,bad,1,0
1065,1065,2,bad,1,0
1066,1066,5,bad,1,0
1067,1067,4,bad,1,0
1068,1068,6,bad,1,0
1069,1069,2,bad,1,0
1070,1070,6,bad,1,0
1071,1071,5,bad,1,0
1072,1072,5,bad,1,0
1073,1073,4,bad,1,0
1074,1074,2,bad,1,0
1075,1075,6,bad,1,0
1076,1076,7,good,0,1
1077,1077,6,bad,1,0
1078,1078,7,good,0,1
1079,1079,6,bad,1,0
1080,1080,5,bad,1,0
1081,1081,7,good,0,1
1082,1082,8,good,0,1
1083,1083,4,bad,1,0
1084,1084,8,good,0,1
1085,1085,6,bad,1,0
1086,1086,4,bad,1,0
1087,1087,5,bad,1,0
